group,function,value,sample_time_nanos,iteration_count
bench_large_input,decode,31457280,49839484,2
bench_large_input,decode,31457280,99446400,4
bench_large_input,decode,31457280,149430150,6
bench_large_input,decode,31457280,199814095,8
bench_large_input,decode,31457280,245732926,10
bench_large_input,decode,31457280,298089063,12
bench_large_input,decode,31457280,348168561,14
bench_large_input,decode,31457280,396527625,16
bench_large_input,decode,31457280,447341420,18
bench_large_input,decode,31457280,491512495,20
