group,function,value,sample_time_nanos,iteration_count
bench_small_input,decode,100,567161,4615
bench_small_input,decode,100,1170481,9230
bench_small_input,decode,100,1733875,13845
bench_small_input,decode,100,2281062,18460
bench_small_input,decode,100,2885276,23075
bench_small_input,decode,100,3430857,27690
bench_small_input,decode,100,4052904,32305
bench_small_input,decode,100,4717548,36920
bench_small_input,decode,100,5186480,41535
bench_small_input,decode,100,5707003,46150
bench_small_input,decode,100,6262413,50765
bench_small_input,decode,100,6866403,55380
bench_small_input,decode,100,7512989,59995
bench_small_input,decode,100,8064328,64610
bench_small_input,decode,100,8533084,69225
bench_small_input,decode,100,9114110,73840
bench_small_input,decode,100,9766060,78455
bench_small_input,decode,100,10374527,83070
bench_small_input,decode,100,10906071,87685
bench_small_input,decode,100,11391437,92300
bench_small_input,decode,100,12643915,96915
bench_small_input,decode,100,13268661,101530
bench_small_input,decode,100,13597232,106145
bench_small_input,decode,100,13722600,110760
bench_small_input,decode,100,14143473,115375
bench_small_input,decode,100,14703463,119990
bench_small_input,decode,100,15034491,124605
bench_small_input,decode,100,15660127,129220
bench_small_input,decode,100,16342531,133835
bench_small_input,decode,100,16541277,138450
bench_small_input,decode,100,17135413,143065
bench_small_input,decode,100,18123204,147680
bench_small_input,decode,100,18749453,152295
bench_small_input,decode,100,19338006,156910
bench_small_input,decode,100,20040549,161525
bench_small_input,decode,100,20376981,166140
bench_small_input,decode,100,20761159,170755
bench_small_input,decode,100,21850662,175370
bench_small_input,decode,100,22040064,179985
bench_small_input,decode,100,22488170,184600
bench_small_input,decode,100,23057670,189215
bench_small_input,decode,100,23892473,193830
bench_small_input,decode,100,24449318,198445
bench_small_input,decode,100,24900728,203060
bench_small_input,decode,100,32969747,207675
bench_small_input,decode,100,44613292,212290
bench_small_input,decode,100,26735450,216905
bench_small_input,decode,100,27321385,221520
bench_small_input,decode,100,27966202,226135
bench_small_input,decode,100,28536637,230750
bench_small_input,decode,100,29098885,235365
bench_small_input,decode,100,29572765,239980
bench_small_input,decode,100,30411283,244595
bench_small_input,decode,100,32871887,249210
bench_small_input,decode,100,31327240,253825
bench_small_input,decode,100,32102257,258440
bench_small_input,decode,100,32536304,263055
bench_small_input,decode,100,32952982,267670
bench_small_input,decode,100,33882442,272285
bench_small_input,decode,100,34753315,276900
bench_small_input,decode,100,34836318,281515
bench_small_input,decode,100,36546139,286130
bench_small_input,decode,100,36215180,290745
bench_small_input,decode,100,36630363,295360
bench_small_input,decode,100,37222295,299975
bench_small_input,decode,100,37727265,304590
bench_small_input,decode,100,38273996,309205
bench_small_input,decode,100,38997321,313820
bench_small_input,decode,100,39222307,318435
bench_small_input,decode,100,40208074,323050
bench_small_input,decode,100,41511943,327665
bench_small_input,decode,100,40831145,332280
bench_small_input,decode,100,40754488,336895
bench_small_input,decode,100,41323278,341510
bench_small_input,decode,100,42574442,346125
bench_small_input,decode,100,42447723,350740
bench_small_input,decode,100,43226471,355355
bench_small_input,decode,100,43601205,359970
bench_small_input,decode,100,44341315,364585
bench_small_input,decode,100,45887768,369200
bench_small_input,decode,100,45208273,373815
bench_small_input,decode,100,46357949,378430
bench_small_input,decode,100,46490872,383045
bench_small_input,decode,100,47122369,387660
bench_small_input,decode,100,48269641,392275
bench_small_input,decode,100,50158997,396890
bench_small_input,decode,100,48782111,401505
bench_small_input,decode,100,49264672,406120
bench_small_input,decode,100,49708278,410735
bench_small_input,decode,100,50655805,415350
bench_small_input,decode,100,51036559,419965
bench_small_input,decode,100,52292491,424580
bench_small_input,decode,100,51926340,429195
bench_small_input,decode,100,53094278,433810
bench_small_input,decode,100,53699586,438425
bench_small_input,decode,100,54388266,443040
bench_small_input,decode,100,54286230,447655
bench_small_input,decode,100,54848543,452270
bench_small_input,decode,100,55946015,456885
bench_small_input,decode,100,60072180,461500
