group,function,value,sample_time_nanos,iteration_count
bench_small_input,decode,100,587807,4659
bench_small_input,decode,100,1167423,9318
bench_small_input,decode,100,1820579,13977
bench_small_input,decode,100,2367852,18636
bench_small_input,decode,100,3044684,23295
bench_small_input,decode,100,3511684,27954
bench_small_input,decode,100,4148599,32613
bench_small_input,decode,100,4703202,37272
bench_small_input,decode,100,5208441,41931
bench_small_input,decode,100,5835504,46590
bench_small_input,decode,100,6504830,51249
bench_small_input,decode,100,7029957,55908
bench_small_input,decode,100,7710266,60567
bench_small_input,decode,100,8372693,65226
bench_small_input,decode,100,8676112,69885
bench_small_input,decode,100,9605701,74544
bench_small_input,decode,100,10111103,79203
bench_small_input,decode,100,11006719,83862
bench_small_input,decode,100,11349230,88521
bench_small_input,decode,100,11812796,93180
bench_small_input,decode,100,12223054,97839
bench_small_input,decode,100,13192419,102498
bench_small_input,decode,100,13503036,107157
bench_small_input,decode,100,14376001,111816
bench_small_input,decode,100,15884479,116475
bench_small_input,decode,100,15699166,121134
bench_small_input,decode,100,15934923,125793
bench_small_input,decode,100,16726839,130452
bench_small_input,decode,100,17114990,135111
bench_small_input,decode,100,17678866,139770
bench_small_input,decode,100,18754852,144429
bench_small_input,decode,100,19129227,149088
bench_small_input,decode,100,19474649,153747
bench_small_input,decode,100,20101154,158406
bench_small_input,decode,100,20912360,163065
bench_small_input,decode,100,21377152,167724
bench_small_input,decode,100,22044985,172383
bench_small_input,decode,100,22503097,177042
bench_small_input,decode,100,22834965,181701
bench_small_input,decode,100,23706574,186360
bench_small_input,decode,100,24117511,191019
bench_small_input,decode,100,24738236,195678
bench_small_input,decode,100,25389319,200337
bench_small_input,decode,100,26100721,204996
bench_small_input,decode,100,26863363,209655
bench_small_input,decode,100,27408171,214314
bench_small_input,decode,100,27875937,218973
bench_small_input,decode,100,28581096,223632
bench_small_input,decode,100,28969262,228291
bench_small_input,decode,100,29670454,232950
bench_small_input,decode,100,30376144,237609
bench_small_input,decode,100,30860906,242268
bench_small_input,decode,100,31329665,246927
bench_small_input,decode,100,32000038,251586
bench_small_input,decode,100,32658703,256245
bench_small_input,decode,100,33293449,260904
bench_small_input,decode,100,33993103,265563
bench_small_input,decode,100,34671372,270222
bench_small_input,decode,100,34816191,274881
bench_small_input,decode,100,35707970,279540
bench_small_input,decode,100,36128244,284199
bench_small_input,decode,100,37476248,288858
bench_small_input,decode,100,40023441,293517
bench_small_input,decode,100,42812941,298176
bench_small_input,decode,100,40964097,302835
bench_small_input,decode,100,39970294,307494
bench_small_input,decode,100,40371116,312153
bench_small_input,decode,100,42975025,316812
bench_small_input,decode,100,41691576,321471
bench_small_input,decode,100,42236821,326130
bench_small_input,decode,100,44582115,330789
bench_small_input,decode,100,43279810,335448
bench_small_input,decode,100,44169383,340107
bench_small_input,decode,100,44529516,344766
bench_small_input,decode,100,45345167,349425
bench_small_input,decode,100,45767248,354084
bench_small_input,decode,100,46305205,358743
bench_small_input,decode,100,46864177,363402
bench_small_input,decode,100,47562775,368061
bench_small_input,decode,100,49808768,372720
bench_small_input,decode,100,48992196,377379
bench_small_input,decode,100,49445365,382038
bench_small_input,decode,100,50858267,386697
bench_small_input,decode,100,50829746,391356
bench_small_input,decode,100,51888206,396015
bench_small_input,decode,100,51857422,400674
bench_small_input,decode,100,52516038,405333
bench_small_input,decode,100,53245066,409992
bench_small_input,decode,100,54339487,414651
bench_small_input,decode,100,55423916,419310
bench_small_input,decode,100,55362334,423969
bench_small_input,decode,100,55241468,428628
bench_small_input,decode,100,56136625,433287
bench_small_input,decode,100,56631498,437946
bench_small_input,decode,100,57495463,442605
bench_small_input,decode,100,57850195,447264
bench_small_input,decode,100,58746010,451923
bench_small_input,decode,100,59360823,456582
bench_small_input,decode,100,59863926,461241
bench_small_input,decode,100,59877231,465900
