group,function,value,sample_time_nanos,iteration_count
bench_small_input,decode_reuse_buf,3,602117,18773
bench_small_input,decode_reuse_buf,3,1152734,37546
bench_small_input,decode_reuse_buf,3,1739019,56319
bench_small_input,decode_reuse_buf,3,2317927,75092
bench_small_input,decode_reuse_buf,3,2990199,93865
bench_small_input,decode_reuse_buf,3,3465511,112638
bench_small_input,decode_reuse_buf,3,4050944,131411
bench_small_input,decode_reuse_buf,3,4625894,150184
bench_small_input,decode_reuse_buf,3,5222605,168957
bench_small_input,decode_reuse_buf,3,5791944,187730
bench_small_input,decode_reuse_buf,3,6395710,206503
bench_small_input,decode_reuse_buf,3,7095933,225276
bench_small_input,decode_reuse_buf,3,10431190,244049
bench_small_input,decode_reuse_buf,3,8716970,262822
bench_small_input,decode_reuse_buf,3,8757248,281595
bench_small_input,decode_reuse_buf,3,9324098,300368
bench_small_input,decode_reuse_buf,3,10778995,319141
bench_small_input,decode_reuse_buf,3,10578921,337914
bench_small_input,decode_reuse_buf,3,11042613,356687
bench_small_input,decode_reuse_buf,3,11941345,375460
bench_small_input,decode_reuse_buf,3,12621459,394233
bench_small_input,decode_reuse_buf,3,13259096,413006
bench_small_input,decode_reuse_buf,3,13384136,431779
bench_small_input,decode_reuse_buf,3,14021463,450552
bench_small_input,decode_reuse_buf,3,15604871,469325
bench_small_input,decode_reuse_buf,3,15055106,488098
bench_small_input,decode_reuse_buf,3,15644867,506871
bench_small_input,decode_reuse_buf,3,16329480,525644
bench_small_input,decode_reuse_buf,3,16805375,544417
bench_small_input,decode_reuse_buf,3,17425960,563190
bench_small_input,decode_reuse_buf,3,18836345,581963
bench_small_input,decode_reuse_buf,3,18586795,600736
bench_small_input,decode_reuse_buf,3,19335514,619509
bench_small_input,decode_reuse_buf,3,19929135,638282
bench_small_input,decode_reuse_buf,3,20460643,657055
bench_small_input,decode_reuse_buf,3,22311860,675828
bench_small_input,decode_reuse_buf,3,21535964,694601
bench_small_input,decode_reuse_buf,3,22270832,713374
bench_small_input,decode_reuse_buf,3,22797324,732147
bench_small_input,decode_reuse_buf,3,23419366,750920
bench_small_input,decode_reuse_buf,3,24811314,769693
bench_small_input,decode_reuse_buf,3,24404121,788466
bench_small_input,decode_reuse_buf,3,25304786,807239
bench_small_input,decode_reuse_buf,3,25631482,826012
bench_small_input,decode_reuse_buf,3,26987071,844785
bench_small_input,decode_reuse_buf,3,27310020,863558
bench_small_input,decode_reuse_buf,3,27593066,882331
bench_small_input,decode_reuse_buf,3,28780282,901104
bench_small_input,decode_reuse_buf,3,28411303,919877
bench_small_input,decode_reuse_buf,3,29738807,938650
bench_small_input,decode_reuse_buf,3,30179986,957423
bench_small_input,decode_reuse_buf,3,31380157,976196
bench_small_input,decode_reuse_buf,3,31266289,994969
bench_small_input,decode_reuse_buf,3,31400697,1013742
bench_small_input,decode_reuse_buf,3,32760797,1032515
bench_small_input,decode_reuse_buf,3,32563326,1051288
bench_small_input,decode_reuse_buf,3,33164381,1070061
bench_small_input,decode_reuse_buf,3,34734972,1088834
bench_small_input,decode_reuse_buf,3,34884418,1107607
bench_small_input,decode_reuse_buf,3,35795633,1126380
bench_small_input,decode_reuse_buf,3,36239673,1145153
bench_small_input,decode_reuse_buf,3,36065345,1163926
bench_small_input,decode_reuse_buf,3,36538550,1182699
bench_small_input,decode_reuse_buf,3,38298720,1201472
bench_small_input,decode_reuse_buf,3,37752918,1220245
bench_small_input,decode_reuse_buf,3,39112481,1239018
bench_small_input,decode_reuse_buf,3,39305096,1257791
bench_small_input,decode_reuse_buf,3,39388216,1276564
bench_small_input,decode_reuse_buf,3,41164407,1295337
bench_small_input,decode_reuse_buf,3,41076624,1314110
bench_small_input,decode_reuse_buf,3,42098088,1332883
bench_small_input,decode_reuse_buf,3,41969092,1351656
bench_small_input,decode_reuse_buf,3,42896445,1370429
bench_small_input,decode_reuse_buf,3,44069721,1389202
bench_small_input,decode_reuse_buf,3,43696988,1407975
bench_small_input,decode_reuse_buf,3,44985239,1426748
bench_small_input,decode_reuse_buf,3,45056271,1445521
bench_small_input,decode_reuse_buf,3,46502329,1464294
bench_small_input,decode_reuse_buf,3,45890306,1483067
bench_small_input,decode_reuse_buf,3,47209375,1501840
bench_small_input,decode_reuse_buf,3,47030379,1520613
bench_small_input,decode_reuse_buf,3,48038157,1539386
bench_small_input,decode_reuse_buf,3,49946032,1558159
bench_small_input,decode_reuse_buf,3,50239365,1576932
bench_small_input,decode_reuse_buf,3,49589437,1595705
bench_small_input,decode_reuse_buf,3,49980218,1614478
bench_small_input,decode_reuse_buf,3,51136657,1633251
bench_small_input,decode_reuse_buf,3,51759572,1652024
bench_small_input,decode_reuse_buf,3,52457721,1670797
bench_small_input,decode_reuse_buf,3,52656994,1689570
bench_small_input,decode_reuse_buf,3,53204908,1708343
bench_small_input,decode_reuse_buf,3,53478321,1727116
bench_small_input,decode_reuse_buf,3,54798557,1745889
bench_small_input,decode_reuse_buf,3,55128553,1764662
bench_small_input,decode_reuse_buf,3,55250963,1783435
bench_small_input,decode_reuse_buf,3,56186015,1802208
bench_small_input,decode_reuse_buf,3,57406207,1820981
bench_small_input,decode_reuse_buf,3,57150692,1839754
bench_small_input,decode_reuse_buf,3,57435022,1858527
bench_small_input,decode_reuse_buf,3,58016754,1877300
