group,function,value,sample_time_nanos,iteration_count
bench_small_input,decode_reuse_buf,3072,574099,377
bench_small_input,decode_reuse_buf,3072,1170075,754
bench_small_input,decode_reuse_buf,3072,1792126,1131
bench_small_input,decode_reuse_buf,3072,2347192,1508
bench_small_input,decode_reuse_buf,3072,2886718,1885
bench_small_input,decode_reuse_buf,3072,3573343,2262
bench_small_input,decode_reuse_buf,3072,4180479,2639
bench_small_input,decode_reuse_buf,3072,4672882,3016
bench_small_input,decode_reuse_buf,3072,5314364,3393
bench_small_input,decode_reuse_buf,3072,6014858,3770
bench_small_input,decode_reuse_buf,3072,6535925,4147
bench_small_input,decode_reuse_buf,3072,7150114,4524
bench_small_input,decode_reuse_buf,3072,7692431,4901
bench_small_input,decode_reuse_buf,3072,8335352,5278
bench_small_input,decode_reuse_buf,3072,8963415,5655
bench_small_input,decode_reuse_buf,3072,9491578,6032
bench_small_input,decode_reuse_buf,3072,10105648,6409
bench_small_input,decode_reuse_buf,3072,10673337,6786
bench_small_input,decode_reuse_buf,3072,11206428,7163
bench_small_input,decode_reuse_buf,3072,11747121,7540
bench_small_input,decode_reuse_buf,3072,12572856,7917
bench_small_input,decode_reuse_buf,3072,13147908,8294
bench_small_input,decode_reuse_buf,3072,13768704,8671
bench_small_input,decode_reuse_buf,3072,14315962,9048
bench_small_input,decode_reuse_buf,3072,14802872,9425
bench_small_input,decode_reuse_buf,3072,15333893,9802
bench_small_input,decode_reuse_buf,3072,16092055,10179
bench_small_input,decode_reuse_buf,3072,16792922,10556
bench_small_input,decode_reuse_buf,3072,17261793,10933
bench_small_input,decode_reuse_buf,3072,17667827,11310
bench_small_input,decode_reuse_buf,3072,18342299,11687
bench_small_input,decode_reuse_buf,3072,18811853,12064
bench_small_input,decode_reuse_buf,3072,19431633,12441
bench_small_input,decode_reuse_buf,3072,20175753,12818
bench_small_input,decode_reuse_buf,3072,20844367,13195
bench_small_input,decode_reuse_buf,3072,21634397,13572
bench_small_input,decode_reuse_buf,3072,21860893,13949
bench_small_input,decode_reuse_buf,3072,22880766,14326
bench_small_input,decode_reuse_buf,3072,23107621,14703
bench_small_input,decode_reuse_buf,3072,23588272,15080
bench_small_input,decode_reuse_buf,3072,24358960,15457
bench_small_input,decode_reuse_buf,3072,24714519,15834
bench_small_input,decode_reuse_buf,3072,25236310,16211
bench_small_input,decode_reuse_buf,3072,26104535,16588
bench_small_input,decode_reuse_buf,3072,26637863,16965
bench_small_input,decode_reuse_buf,3072,27265834,17342
bench_small_input,decode_reuse_buf,3072,31005513,17719
bench_small_input,decode_reuse_buf,3072,29180928,18096
bench_small_input,decode_reuse_buf,3072,29064629,18473
bench_small_input,decode_reuse_buf,3072,30123244,18850
bench_small_input,decode_reuse_buf,3072,30881245,19227
bench_small_input,decode_reuse_buf,3072,30931308,19604
bench_small_input,decode_reuse_buf,3072,31464121,19981
bench_small_input,decode_reuse_buf,3072,33578670,20358
bench_small_input,decode_reuse_buf,3072,32492679,20735
bench_small_input,decode_reuse_buf,3072,33328339,21112
bench_small_input,decode_reuse_buf,3072,33739775,21489
bench_small_input,decode_reuse_buf,3072,34373509,21866
bench_small_input,decode_reuse_buf,3072,35039648,22243
bench_small_input,decode_reuse_buf,3072,35604884,22620
bench_small_input,decode_reuse_buf,3072,36268842,22997
bench_small_input,decode_reuse_buf,3072,37030223,23374
bench_small_input,decode_reuse_buf,3072,37246468,23751
bench_small_input,decode_reuse_buf,3072,37729216,24128
bench_small_input,decode_reuse_buf,3072,38559273,24505
bench_small_input,decode_reuse_buf,3072,38958364,24882
bench_small_input,decode_reuse_buf,3072,39578412,25259
bench_small_input,decode_reuse_buf,3072,40259528,25636
bench_small_input,decode_reuse_buf,3072,41206042,26013
bench_small_input,decode_reuse_buf,3072,41837956,26390
bench_small_input,decode_reuse_buf,3072,41576835,26767
bench_small_input,decode_reuse_buf,3072,42475948,27144
bench_small_input,decode_reuse_buf,3072,43487099,27521
bench_small_input,decode_reuse_buf,3072,44728320,27898
bench_small_input,decode_reuse_buf,3072,44715450,28275
bench_small_input,decode_reuse_buf,3072,45613686,28652
bench_small_input,decode_reuse_buf,3072,46335505,29029
bench_small_input,decode_reuse_buf,3072,46534272,29406
bench_small_input,decode_reuse_buf,3072,46860032,29783
bench_small_input,decode_reuse_buf,3072,47465701,30160
bench_small_input,decode_reuse_buf,3072,48146657,30537
bench_small_input,decode_reuse_buf,3072,48618370,30914
bench_small_input,decode_reuse_buf,3072,49263722,31291
bench_small_input,decode_reuse_buf,3072,49825653,31668
bench_small_input,decode_reuse_buf,3072,50889102,32045
bench_small_input,decode_reuse_buf,3072,51034724,32422
bench_small_input,decode_reuse_buf,3072,51608790,32799
bench_small_input,decode_reuse_buf,3072,52500772,33176
bench_small_input,decode_reuse_buf,3072,53607628,33553
bench_small_input,decode_reuse_buf,3072,53777026,33930
bench_small_input,decode_reuse_buf,3072,53693796,34307
bench_small_input,decode_reuse_buf,3072,54267521,34684
bench_small_input,decode_reuse_buf,3072,55755956,35061
bench_small_input,decode_reuse_buf,3072,57970472,35438
bench_small_input,decode_reuse_buf,3072,57610328,35815
bench_small_input,decode_reuse_buf,3072,56947623,36192
bench_small_input,decode_reuse_buf,3072,58029928,36569
bench_small_input,decode_reuse_buf,3072,58852534,36946
bench_small_input,decode_reuse_buf,3072,58813097,37323
bench_small_input,decode_reuse_buf,3072,59674227,37700
