group,function,value,sample_time_nanos,iteration_count
bench_small_input,decode_slice,100,674210,6960
bench_small_input,decode_slice,100,1125647,13920
bench_small_input,decode_slice,100,1659838,20880
bench_small_input,decode_slice,100,2257605,27840
bench_small_input,decode_slice,100,2842204,34800
bench_small_input,decode_slice,100,3332227,41760
bench_small_input,decode_slice,100,3813580,48720
bench_small_input,decode_slice,100,4744609,55680
bench_small_input,decode_slice,100,5149171,62640
bench_small_input,decode_slice,100,5931617,69600
bench_small_input,decode_slice,100,6328497,76560
bench_small_input,decode_slice,100,6910242,83520
bench_small_input,decode_slice,100,7392695,90480
bench_small_input,decode_slice,100,7790503,97440
bench_small_input,decode_slice,100,8329646,104400
bench_small_input,decode_slice,100,9360785,111360
bench_small_input,decode_slice,100,10472937,118320
bench_small_input,decode_slice,100,11589223,125280
bench_small_input,decode_slice,100,11722857,132240
bench_small_input,decode_slice,100,11762875,139200
bench_small_input,decode_slice,100,11944086,146160
bench_small_input,decode_slice,100,15099871,153120
bench_small_input,decode_slice,100,16738630,160080
bench_small_input,decode_slice,100,14796932,167040
bench_small_input,decode_slice,100,14574995,174000
bench_small_input,decode_slice,100,15645225,180960
bench_small_input,decode_slice,100,16349628,187920
bench_small_input,decode_slice,100,18069589,194880
bench_small_input,decode_slice,100,18099136,201840
bench_small_input,decode_slice,100,17548123,208800
bench_small_input,decode_slice,100,19626503,215760
bench_small_input,decode_slice,100,20508178,222720
bench_small_input,decode_slice,100,19934128,229680
bench_small_input,decode_slice,100,21916515,236640
bench_small_input,decode_slice,100,22885779,243600
bench_small_input,decode_slice,100,22031681,250560
bench_small_input,decode_slice,100,21776764,257520
bench_small_input,decode_slice,100,22763144,264480
bench_small_input,decode_slice,100,21983964,271440
bench_small_input,decode_slice,100,23428756,278400
bench_small_input,decode_slice,100,24112831,285360
bench_small_input,decode_slice,100,24084201,292320
bench_small_input,decode_slice,100,24273768,299280
bench_small_input,decode_slice,100,24543767,306240
bench_small_input,decode_slice,100,25209652,313200
bench_small_input,decode_slice,100,26684905,320160
bench_small_input,decode_slice,100,26269601,327120
bench_small_input,decode_slice,100,27142197,334080
bench_small_input,decode_slice,100,27212263,341040
bench_small_input,decode_slice,100,27847480,348000
bench_small_input,decode_slice,100,28690248,354960
bench_small_input,decode_slice,100,28768436,361920
bench_small_input,decode_slice,100,29446711,368880
bench_small_input,decode_slice,100,29854008,375840
bench_small_input,decode_slice,100,30489259,382800
bench_small_input,decode_slice,100,31370569,389760
bench_small_input,decode_slice,100,31704266,396720
bench_small_input,decode_slice,100,32173330,403680
bench_small_input,decode_slice,100,33040114,410640
bench_small_input,decode_slice,100,34453590,417600
bench_small_input,decode_slice,100,33768457,424560
bench_small_input,decode_slice,100,34736850,431520
bench_small_input,decode_slice,100,35490250,438480
bench_small_input,decode_slice,100,35644466,445440
bench_small_input,decode_slice,100,36375709,452400
bench_small_input,decode_slice,100,36700385,459360
bench_small_input,decode_slice,100,38374865,466320
bench_small_input,decode_slice,100,38658391,473280
bench_small_input,decode_slice,100,38997313,480240
bench_small_input,decode_slice,100,38994485,487200
bench_small_input,decode_slice,100,39594044,494160
bench_small_input,decode_slice,100,40057402,501120
bench_small_input,decode_slice,100,41578226,508080
bench_small_input,decode_slice,100,41388881,515040
bench_small_input,decode_slice,100,46238220,522000
bench_small_input,decode_slice,100,46356570,528960
bench_small_input,decode_slice,100,43319478,535920
bench_small_input,decode_slice,100,45782898,542880
bench_small_input,decode_slice,100,45603745,549840
bench_small_input,decode_slice,100,47127053,556800
bench_small_input,decode_slice,100,47679170,563760
bench_small_input,decode_slice,100,48169464,570720
bench_small_input,decode_slice,100,47566687,577680
bench_small_input,decode_slice,100,48190629,584640
bench_small_input,decode_slice,100,48136966,591600
bench_small_input,decode_slice,100,48515800,598560
bench_small_input,decode_slice,100,48275238,605520
bench_small_input,decode_slice,100,48780774,612480
bench_small_input,decode_slice,100,49408640,619440
bench_small_input,decode_slice,100,52400343,626400
bench_small_input,decode_slice,100,55395686,633360
bench_small_input,decode_slice,100,61374048,640320
bench_small_input,decode_slice,100,54520561,647280
bench_small_input,decode_slice,100,57333755,654240
bench_small_input,decode_slice,100,55357135,661200
bench_small_input,decode_slice,100,58183879,668160
bench_small_input,decode_slice,100,55850558,675120
bench_small_input,decode_slice,100,57107220,682080
bench_small_input,decode_slice,100,56055799,689040
bench_small_input,decode_slice,100,56684292,696000
