group,function,value,sample_time_nanos,iteration_count
bench_small_input,encode,3072,611253,280
bench_small_input,encode,3072,1195987,560
bench_small_input,encode,3072,1708591,840
bench_small_input,encode,3072,2297570,1120
bench_small_input,encode,3072,2965547,1400
bench_small_input,encode,3072,3610373,1680
bench_small_input,encode,3072,4154496,1960
bench_small_input,encode,3072,4821552,2240
bench_small_input,encode,3072,5316119,2520
bench_small_input,encode,3072,5808134,2800
bench_small_input,encode,3072,6558462,3080
bench_small_input,encode,3072,6947839,3360
bench_small_input,encode,3072,7625862,3640
bench_small_input,encode,3072,8329942,3920
bench_small_input,encode,3072,8792980,4200
bench_small_input,encode,3072,9548605,4480
bench_small_input,encode,3072,10195496,4760
bench_small_input,encode,3072,10658067,5040
bench_small_input,encode,3072,11125781,5320
bench_small_input,encode,3072,11877746,5600
bench_small_input,encode,3072,12361655,5880
bench_small_input,encode,3072,12883836,6160
bench_small_input,encode,3072,13481028,6440
bench_small_input,encode,3072,14269381,6720
bench_small_input,encode,3072,15009422,7000
bench_small_input,encode,3072,15495068,7280
bench_small_input,encode,3072,15887241,7560
bench_small_input,encode,3072,16299657,7840
bench_small_input,encode,3072,17005416,8120
bench_small_input,encode,3072,17806684,8400
bench_small_input,encode,3072,18419529,8680
bench_small_input,encode,3072,18864695,8960
bench_small_input,encode,3072,19457880,9240
bench_small_input,encode,3072,20036439,9520
bench_small_input,encode,3072,20688319,9800
bench_small_input,encode,3072,21431005,10080
bench_small_input,encode,3072,21971799,10360
bench_small_input,encode,3072,22327308,10640
bench_small_input,encode,3072,23933149,10920
bench_small_input,encode,3072,23723852,11200
bench_small_input,encode,3072,24333946,11480
bench_small_input,encode,3072,24685305,11760
bench_small_input,encode,3072,25046757,12040
bench_small_input,encode,3072,25943406,12320
bench_small_input,encode,3072,26760219,12600
bench_small_input,encode,3072,27104384,12880
bench_small_input,encode,3072,27456993,13160
bench_small_input,encode,3072,28893201,13440
bench_small_input,encode,3072,30885653,13720
bench_small_input,encode,3072,29483900,14000
bench_small_input,encode,3072,30228708,14280
bench_small_input,encode,3072,30790648,14560
bench_small_input,encode,3072,30977229,14840
bench_small_input,encode,3072,31805628,15120
bench_small_input,encode,3072,32995289,15400
bench_small_input,encode,3072,33099410,15680
bench_small_input,encode,3072,34123103,15960
bench_small_input,encode,3072,34316788,16240
bench_small_input,encode,3072,34690821,16520
bench_small_input,encode,3072,35514702,16800
bench_small_input,encode,3072,36052415,17080
bench_small_input,encode,3072,36181962,17360
bench_small_input,encode,3072,36964971,17640
bench_small_input,encode,3072,38000381,17920
bench_small_input,encode,3072,37961532,18200
bench_small_input,encode,3072,38816375,18480
bench_small_input,encode,3072,39817833,18760
bench_small_input,encode,3072,40616700,19040
bench_small_input,encode,3072,40696309,19320
bench_small_input,encode,3072,41163667,19600
bench_small_input,encode,3072,42513106,19880
bench_small_input,encode,3072,42428106,20160
bench_small_input,encode,3072,43248663,20440
bench_small_input,encode,3072,43913915,20720
bench_small_input,encode,3072,44235721,21000
bench_small_input,encode,3072,46548311,21280
bench_small_input,encode,3072,44960226,21560
bench_small_input,encode,3072,46205567,21840
bench_small_input,encode,3072,46407709,22120
bench_small_input,encode,3072,47661599,22400
bench_small_input,encode,3072,47733584,22680
bench_small_input,encode,3072,48731811,22960
bench_small_input,encode,3072,49168407,23240
bench_small_input,encode,3072,49640735,23520
bench_small_input,encode,3072,49862451,23800
bench_small_input,encode,3072,51560057,24080
bench_small_input,encode,3072,51239188,24360
bench_small_input,encode,3072,52090013,24640
bench_small_input,encode,3072,52266454,24920
bench_small_input,encode,3072,53326614,25200
bench_small_input,encode,3072,53961864,25480
bench_small_input,encode,3072,54487074,25760
bench_small_input,encode,3072,54459478,26040
bench_small_input,encode,3072,55535670,26320
bench_small_input,encode,3072,56449865,26600
bench_small_input,encode,3072,57847459,26880
bench_small_input,encode,3072,57662105,27160
bench_small_input,encode,3072,58012565,27440
bench_small_input,encode,3072,59080425,27720
bench_small_input,encode,3072,59659082,28000
