group,function,value,sample_time_nanos,iteration_count
bench_small_input,encode_display,3072,611911,231
bench_small_input,encode_display,3072,1271781,462
bench_small_input,encode_display,3072,3052110,693
bench_small_input,encode_display,3072,4081096,924
bench_small_input,encode_display,3072,2974804,1155
bench_small_input,encode_display,3072,3560519,1386
bench_small_input,encode_display,3072,4192831,1617
bench_small_input,encode_display,3072,4667657,1848
bench_small_input,encode_display,3072,5347946,2079
bench_small_input,encode_display,3072,5806840,2310
bench_small_input,encode_display,3072,6435908,2541
bench_small_input,encode_display,3072,7004074,2772
bench_small_input,encode_display,3072,7520051,3003
bench_small_input,encode_display,3072,8150975,3234
bench_small_input,encode_display,3072,8692695,3465
bench_small_input,encode_display,3072,9309982,3696
bench_small_input,encode_display,3072,9807820,3927
bench_small_input,encode_display,3072,10540481,4158
bench_small_input,encode_display,3072,11041600,4389
bench_small_input,encode_display,3072,11402686,4620
bench_small_input,encode_display,3072,12212415,4851
bench_small_input,encode_display,3072,12651248,5082
bench_small_input,encode_display,3072,13109692,5313
bench_small_input,encode_display,3072,13987364,5544
bench_small_input,encode_display,3072,14436276,5775
bench_small_input,encode_display,3072,14871421,6006
bench_small_input,encode_display,3072,15424348,6237
bench_small_input,encode_display,3072,20460483,6468
bench_small_input,encode_display,3072,19259097,6699
bench_small_input,encode_display,3072,21682054,6930
bench_small_input,encode_display,3072,18207518,7161
bench_small_input,encode_display,3072,18858771,7392
bench_small_input,encode_display,3072,19276591,7623
bench_small_input,encode_display,3072,19989819,7854
bench_small_input,encode_display,3072,21409880,8085
bench_small_input,encode_display,3072,20781039,8316
bench_small_input,encode_display,3072,21529463,8547
bench_small_input,encode_display,3072,22467696,8778
bench_small_input,encode_display,3072,22719437,9009
bench_small_input,encode_display,3072,23217776,9240
bench_small_input,encode_display,3072,23785940,9471
bench_small_input,encode_display,3072,24792982,9702
bench_small_input,encode_display,3072,24929922,9933
bench_small_input,encode_display,3072,26391570,10164
bench_small_input,encode_display,3072,26181922,10395
bench_small_input,encode_display,3072,26557682,10626
bench_small_input,encode_display,3072,27398050,10857
bench_small_input,encode_display,3072,27882217,11088
bench_small_input,encode_display,3072,28611752,11319
bench_small_input,encode_display,3072,29851038,11550
bench_small_input,encode_display,3072,30506026,11781
bench_small_input,encode_display,3072,30612535,12012
bench_small_input,encode_display,3072,31063915,12243
bench_small_input,encode_display,3072,31329269,12474
bench_small_input,encode_display,3072,31728822,12705
bench_small_input,encode_display,3072,33251788,12936
bench_small_input,encode_display,3072,33428710,13167
bench_small_input,encode_display,3072,33725457,13398
bench_small_input,encode_display,3072,34544722,13629
bench_small_input,encode_display,3072,35023037,13860
bench_small_input,encode_display,3072,35373672,14091
bench_small_input,encode_display,3072,36243512,14322
bench_small_input,encode_display,3072,36885188,14553
bench_small_input,encode_display,3072,36721460,14784
bench_small_input,encode_display,3072,37860790,15015
bench_small_input,encode_display,3072,38525549,15246
bench_small_input,encode_display,3072,39407620,15477
bench_small_input,encode_display,3072,39763239,15708
bench_small_input,encode_display,3072,40158326,15939
bench_small_input,encode_display,3072,40642839,16170
bench_small_input,encode_display,3072,41636595,16401
bench_small_input,encode_display,3072,41704653,16632
bench_small_input,encode_display,3072,42340773,16863
bench_small_input,encode_display,3072,43642775,17094
bench_small_input,encode_display,3072,43721232,17325
bench_small_input,encode_display,3072,44477611,17556
bench_small_input,encode_display,3072,45639667,17787
bench_small_input,encode_display,3072,45411555,18018
bench_small_input,encode_display,3072,45406701,18249
bench_small_input,encode_display,3072,46052549,18480
bench_small_input,encode_display,3072,46973502,18711
bench_small_input,encode_display,3072,47813023,18942
bench_small_input,encode_display,3072,47797863,19173
bench_small_input,encode_display,3072,48998450,19404
bench_small_input,encode_display,3072,48956029,19635
bench_small_input,encode_display,3072,49911155,19866
bench_small_input,encode_display,3072,49854211,20097
bench_small_input,encode_display,3072,51249818,20328
bench_small_input,encode_display,3072,51726582,20559
bench_small_input,encode_display,3072,52257869,20790
bench_small_input,encode_display,3072,52003997,21021
bench_small_input,encode_display,3072,52927092,21252
bench_small_input,encode_display,3072,53908391,21483
bench_small_input,encode_display,3072,54775549,21714
bench_small_input,encode_display,3072,54721636,21945
bench_small_input,encode_display,3072,55544380,22176
bench_small_input,encode_display,3072,57633532,22407
bench_small_input,encode_display,3072,56575765,22638
bench_small_input,encode_display,3072,57351477,22869
bench_small_input,encode_display,3072,57360586,23100
