group,function,value,sample_time_nanos,iteration_count
bench_small_input,encode_reuse_buf,3072,596060,265
bench_small_input,encode_reuse_buf,3072,1186248,530
bench_small_input,encode_reuse_buf,3072,1782658,795
bench_small_input,encode_reuse_buf,3072,2373068,1060
bench_small_input,encode_reuse_buf,3072,3003175,1325
bench_small_input,encode_reuse_buf,3072,3571601,1590
bench_small_input,encode_reuse_buf,3072,4194696,1855
bench_small_input,encode_reuse_buf,3072,4773463,2120
bench_small_input,encode_reuse_buf,3072,5485208,2385
bench_small_input,encode_reuse_buf,3072,6431299,2650
bench_small_input,encode_reuse_buf,3072,6744228,2915
bench_small_input,encode_reuse_buf,3072,7296814,3180
bench_small_input,encode_reuse_buf,3072,7941888,3445
bench_small_input,encode_reuse_buf,3072,8147635,3710
bench_small_input,encode_reuse_buf,3072,8962719,3975
bench_small_input,encode_reuse_buf,3072,9477016,4240
bench_small_input,encode_reuse_buf,3072,9968248,4505
bench_small_input,encode_reuse_buf,3072,10480002,4770
bench_small_input,encode_reuse_buf,3072,11195939,5035
bench_small_input,encode_reuse_buf,3072,12066592,5300
bench_small_input,encode_reuse_buf,3072,12629172,5565
bench_small_input,encode_reuse_buf,3072,13189643,5830
bench_small_input,encode_reuse_buf,3072,13816504,6095
bench_small_input,encode_reuse_buf,3072,14478169,6360
bench_small_input,encode_reuse_buf,3072,14787687,6625
bench_small_input,encode_reuse_buf,3072,15293088,6890
bench_small_input,encode_reuse_buf,3072,16338506,7155
bench_small_input,encode_reuse_buf,3072,16930901,7420
bench_small_input,encode_reuse_buf,3072,17203489,7685
bench_small_input,encode_reuse_buf,3072,17408460,7950
bench_small_input,encode_reuse_buf,3072,18233039,8215
bench_small_input,encode_reuse_buf,3072,18699177,8480
bench_small_input,encode_reuse_buf,3072,22964113,8745
bench_small_input,encode_reuse_buf,3072,20528441,9010
bench_small_input,encode_reuse_buf,3072,20761987,9275
bench_small_input,encode_reuse_buf,3072,21296102,9540
bench_small_input,encode_reuse_buf,3072,22270042,9805
bench_small_input,encode_reuse_buf,3072,22631411,10070
bench_small_input,encode_reuse_buf,3072,23117168,10335
bench_small_input,encode_reuse_buf,3072,23520466,10600
bench_small_input,encode_reuse_buf,3072,24183367,10865
bench_small_input,encode_reuse_buf,3072,26168639,11130
bench_small_input,encode_reuse_buf,3072,25632457,11395
bench_small_input,encode_reuse_buf,3072,26060035,11660
bench_small_input,encode_reuse_buf,3072,26625348,11925
bench_small_input,encode_reuse_buf,3072,27180883,12190
bench_small_input,encode_reuse_buf,3072,28053693,12455
bench_small_input,encode_reuse_buf,3072,28181975,12720
bench_small_input,encode_reuse_buf,3072,28894121,12985
bench_small_input,encode_reuse_buf,3072,29544467,13250
bench_small_input,encode_reuse_buf,3072,30090439,13515
bench_small_input,encode_reuse_buf,3072,31021901,13780
bench_small_input,encode_reuse_buf,3072,31796064,14045
bench_small_input,encode_reuse_buf,3072,31787652,14310
bench_small_input,encode_reuse_buf,3072,32630385,14575
bench_small_input,encode_reuse_buf,3072,33391602,14840
bench_small_input,encode_reuse_buf,3072,33978483,15105
bench_small_input,encode_reuse_buf,3072,34115494,15370
bench_small_input,encode_reuse_buf,3072,35373572,15635
bench_small_input,encode_reuse_buf,3072,35693900,15900
bench_small_input,encode_reuse_buf,3072,36355509,16165
bench_small_input,encode_reuse_buf,3072,37001274,16430
bench_small_input,encode_reuse_buf,3072,37795850,16695
bench_small_input,encode_reuse_buf,3072,38500268,16960
bench_small_input,encode_reuse_buf,3072,38672796,17225
bench_small_input,encode_reuse_buf,3072,39447023,17490
bench_small_input,encode_reuse_buf,3072,40301450,17755
bench_small_input,encode_reuse_buf,3072,40693909,18020
bench_small_input,encode_reuse_buf,3072,41403902,18285
bench_small_input,encode_reuse_buf,3072,41229786,18550
bench_small_input,encode_reuse_buf,3072,41928686,18815
bench_small_input,encode_reuse_buf,3072,43997617,19080
bench_small_input,encode_reuse_buf,3072,42974091,19345
bench_small_input,encode_reuse_buf,3072,43501499,19610
bench_small_input,encode_reuse_buf,3072,44001773,19875
bench_small_input,encode_reuse_buf,3072,44874005,20140
bench_small_input,encode_reuse_buf,3072,45245788,20405
bench_small_input,encode_reuse_buf,3072,46188672,20670
bench_small_input,encode_reuse_buf,3072,46377522,20935
bench_small_input,encode_reuse_buf,3072,47194472,21200
bench_small_input,encode_reuse_buf,3072,48060625,21465
bench_small_input,encode_reuse_buf,3072,48264462,21730
bench_small_input,encode_reuse_buf,3072,49156998,21995
bench_small_input,encode_reuse_buf,3072,50542880,22260
bench_small_input,encode_reuse_buf,3072,51297173,22525
bench_small_input,encode_reuse_buf,3072,51896774,22790
bench_small_input,encode_reuse_buf,3072,52001825,23055
bench_small_input,encode_reuse_buf,3072,51549619,23320
bench_small_input,encode_reuse_buf,3072,52533634,23585
bench_small_input,encode_reuse_buf,3072,52990337,23850
bench_small_input,encode_reuse_buf,3072,53819908,24115
bench_small_input,encode_reuse_buf,3072,55448792,24380
bench_small_input,encode_reuse_buf,3072,55113643,24645
bench_small_input,encode_reuse_buf,3072,55131477,24910
bench_small_input,encode_reuse_buf,3072,55946320,25175
bench_small_input,encode_reuse_buf,3072,56292494,25440
bench_small_input,encode_reuse_buf,3072,57280915,25705
bench_small_input,encode_reuse_buf,3072,57515138,25970
bench_small_input,encode_reuse_buf,3072,58194779,26235
bench_small_input,encode_reuse_buf,3072,58622557,26500
