group,function,value,sample_time_nanos,iteration_count
bench_small_input,encode_slice,100,592581,8206
bench_small_input,encode_slice,100,1119449,16412
bench_small_input,encode_slice,100,1816477,24618
bench_small_input,encode_slice,100,2304455,32824
bench_small_input,encode_slice,100,2844873,41030
bench_small_input,encode_slice,100,3443480,49236
bench_small_input,encode_slice,100,3892844,57442
bench_small_input,encode_slice,100,5781058,65648
bench_small_input,encode_slice,100,5158606,73854
bench_small_input,encode_slice,100,5839534,82060
bench_small_input,encode_slice,100,6315840,90266
bench_small_input,encode_slice,100,6956124,98472
bench_small_input,encode_slice,100,7394667,106678
bench_small_input,encode_slice,100,7839153,114884
bench_small_input,encode_slice,100,8531072,123090
bench_small_input,encode_slice,100,9065392,131296
bench_small_input,encode_slice,100,9698269,139502
bench_small_input,encode_slice,100,10234629,147708
bench_small_input,encode_slice,100,11003761,155914
bench_small_input,encode_slice,100,11361791,164120
bench_small_input,encode_slice,100,12026417,172326
bench_small_input,encode_slice,100,12753586,180532
bench_small_input,encode_slice,100,13022700,188738
bench_small_input,encode_slice,100,13514377,196944
bench_small_input,encode_slice,100,14265166,205150
bench_small_input,encode_slice,100,14831494,213356
bench_small_input,encode_slice,100,15450178,221562
bench_small_input,encode_slice,100,15804519,229768
bench_small_input,encode_slice,100,16361630,237974
bench_small_input,encode_slice,100,18986819,246180
bench_small_input,encode_slice,100,17497579,254386
bench_small_input,encode_slice,100,18550179,262592
bench_small_input,encode_slice,100,19037382,270798
bench_small_input,encode_slice,100,19463872,279004
bench_small_input,encode_slice,100,19994222,287210
bench_small_input,encode_slice,100,20386527,295416
bench_small_input,encode_slice,100,21207088,303622
bench_small_input,encode_slice,100,21639981,311828
bench_small_input,encode_slice,100,22442224,320034
bench_small_input,encode_slice,100,22705349,328240
bench_small_input,encode_slice,100,23460634,336446
bench_small_input,encode_slice,100,24073090,344652
bench_small_input,encode_slice,100,24573855,352858
bench_small_input,encode_slice,100,26003915,361064
bench_small_input,encode_slice,100,25831906,369270
bench_small_input,encode_slice,100,26156084,377476
bench_small_input,encode_slice,100,27227977,385682
bench_small_input,encode_slice,100,27649139,393888
bench_small_input,encode_slice,100,28185884,402094
bench_small_input,encode_slice,100,29223229,410300
bench_small_input,encode_slice,100,29072976,418506
bench_small_input,encode_slice,100,29975291,426712
bench_small_input,encode_slice,100,30216656,434918
bench_small_input,encode_slice,100,30833653,443124
bench_small_input,encode_slice,100,31318758,451330
bench_small_input,encode_slice,100,32129223,459536
bench_small_input,encode_slice,100,32699102,467742
bench_small_input,encode_slice,100,32871677,475948
bench_small_input,encode_slice,100,34428725,484154
bench_small_input,encode_slice,100,35962631,492360
bench_small_input,encode_slice,100,34668131,500566
bench_small_input,encode_slice,100,36347843,508772
bench_small_input,encode_slice,100,36029464,516978
bench_small_input,encode_slice,100,36598139,525184
bench_small_input,encode_slice,100,37520554,533390
bench_small_input,encode_slice,100,39953390,541596
bench_small_input,encode_slice,100,38777038,549802
bench_small_input,encode_slice,100,39240052,558008
bench_small_input,encode_slice,100,39407348,566214
bench_small_input,encode_slice,100,40356813,574420
bench_small_input,encode_slice,100,41257110,582626
bench_small_input,encode_slice,100,41836892,590832
bench_small_input,encode_slice,100,42117394,599038
bench_small_input,encode_slice,100,42679647,607244
bench_small_input,encode_slice,100,43987145,615450
bench_small_input,encode_slice,100,43454502,623656
bench_small_input,encode_slice,100,44530486,631862
bench_small_input,encode_slice,100,44599255,640068
bench_small_input,encode_slice,100,46142192,648274
bench_small_input,encode_slice,100,46002123,656480
bench_small_input,encode_slice,100,46692269,664686
bench_small_input,encode_slice,100,47465009,672892
bench_small_input,encode_slice,100,47440470,681098
bench_small_input,encode_slice,100,49041799,689304
bench_small_input,encode_slice,100,48444843,697510
bench_small_input,encode_slice,100,49516587,705716
bench_small_input,encode_slice,100,49827548,713922
bench_small_input,encode_slice,100,50299350,722128
bench_small_input,encode_slice,100,50992740,730334
bench_small_input,encode_slice,100,52057291,738540
bench_small_input,encode_slice,100,52609543,746746
bench_small_input,encode_slice,100,52513155,754952
bench_small_input,encode_slice,100,53219370,763158
bench_small_input,encode_slice,100,53834272,771364
bench_small_input,encode_slice,100,54457889,779570
bench_small_input,encode_slice,100,54472844,787776
bench_small_input,encode_slice,100,55611319,795982
bench_small_input,encode_slice,100,56360433,804188
bench_small_input,encode_slice,100,56859325,812394
bench_small_input,encode_slice,100,57111802,820600
