group,function,value,sample_time_nanos,iteration_count
bench_large_input,decode,10485760,50689993,8
bench_large_input,decode,10485760,103061915,16
bench_large_input,decode,10485760,150655384,24
bench_large_input,decode,10485760,199760097,32
bench_large_input,decode,10485760,251966131,40
bench_large_input,decode,10485760,301446744,48
bench_large_input,decode,10485760,356345100,56
bench_large_input,decode,10485760,422463683,64
bench_large_input,decode,10485760,463617734,72
bench_large_input,decode,10485760,502423058,80
