group,function,value,sample_time_nanos,iteration_count
bench_large_input,encode,10485760,45520829,10
bench_large_input,encode,10485760,89452700,20
bench_large_input,encode,10485760,133770591,30
bench_large_input,encode,10485760,178394941,40
bench_large_input,encode,10485760,224537625,50
bench_large_input,encode,10485760,268618942,60
bench_large_input,encode,10485760,316359834,70
bench_large_input,encode,10485760,365122813,80
bench_large_input,encode,10485760,406602033,90
bench_large_input,encode,10485760,463416880,100
