group,function,value,sample_time_nanos,iteration_count
bench_small_input,decode,3,591525,7126
bench_small_input,decode,3,1179744,14252
bench_small_input,decode,3,1775973,21378
bench_small_input,decode,3,2360617,28504
bench_small_input,decode,3,2954063,35630
bench_small_input,decode,3,3548131,42756
bench_small_input,decode,3,4133690,49882
bench_small_input,decode,3,4722948,57008
bench_small_input,decode,3,5314334,64134
bench_small_input,decode,3,5918480,71260
bench_small_input,decode,3,6502624,78386
bench_small_input,decode,3,7115264,85512
bench_small_input,decode,3,7719363,92638
bench_small_input,decode,3,8279424,99764
bench_small_input,decode,3,8869192,106890
bench_small_input,decode,3,9466293,114016
bench_small_input,decode,3,10044754,121142
bench_small_input,decode,3,10626840,128268
bench_small_input,decode,3,11223396,135394
bench_small_input,decode,3,11804561,142520
bench_small_input,decode,3,12397360,149646
bench_small_input,decode,3,12987726,156772
bench_small_input,decode,3,13578462,163898
bench_small_input,decode,3,14171933,171024
bench_small_input,decode,3,14762672,178150
bench_small_input,decode,3,15358684,185276
bench_small_input,decode,3,15939476,192402
bench_small_input,decode,3,16534336,199528
bench_small_input,decode,3,17116107,206654
bench_small_input,decode,3,17704735,213780
bench_small_input,decode,3,18307635,220906
bench_small_input,decode,3,18896189,228032
bench_small_input,decode,3,19493314,235158
bench_small_input,decode,3,20079011,242284
bench_small_input,decode,3,20668979,249410
bench_small_input,decode,3,21250345,256536
bench_small_input,decode,3,21861792,263662
bench_small_input,decode,3,22433813,270788
bench_small_input,decode,3,23026908,277914
bench_small_input,decode,3,23606784,285040
bench_small_input,decode,3,24201209,292166
bench_small_input,decode,3,24791228,299292
bench_small_input,decode,3,25395444,306418
bench_small_input,decode,3,25975347,313544
bench_small_input,decode,3,26563860,320670
bench_small_input,decode,3,27164731,327796
bench_small_input,decode,3,27749365,334922
bench_small_input,decode,3,28330262,342048
bench_small_input,decode,3,28989135,349174
bench_small_input,decode,3,29565427,356300
bench_small_input,decode,3,30134337,363426
bench_small_input,decode,3,30735284,370552
bench_small_input,decode,3,31301423,377678
bench_small_input,decode,3,31906916,384804
bench_small_input,decode,3,32468929,391930
bench_small_input,decode,3,33069201,399056
bench_small_input,decode,3,33694760,406182
bench_small_input,decode,3,34279667,413308
bench_small_input,decode,3,34847351,420434
bench_small_input,decode,3,35436988,427560
bench_small_input,decode,3,36005431,434686
bench_small_input,decode,3,36619051,441812
bench_small_input,decode,3,37182814,448938
bench_small_input,decode,3,37773102,456064
bench_small_input,decode,3,38364664,463190
bench_small_input,decode,3,38993691,470316
bench_small_input,decode,3,39564510,477442
bench_small_input,decode,3,40162471,484568
bench_small_input,decode,3,40759810,491694
bench_small_input,decode,3,41348385,498820
bench_small_input,decode,3,41910931,505946
bench_small_input,decode,3,42529844,513072
bench_small_input,decode,3,43103888,520198
bench_small_input,decode,3,43677677,527324
bench_small_input,decode,3,44272524,534450
bench_small_input,decode,3,45189716,541576
bench_small_input,decode,3,45500250,548702
bench_small_input,decode,3,46043408,555828
bench_small_input,decode,3,46639170,562954
bench_small_input,decode,3,47238035,570080
bench_small_input,decode,3,47878742,577206
bench_small_input,decode,3,48413848,584332
bench_small_input,decode,3,48974582,591458
bench_small_input,decode,3,49594937,598584
bench_small_input,decode,3,50195057,605710
bench_small_input,decode,3,50774254,612836
bench_small_input,decode,3,51349590,619962
bench_small_input,decode,3,52025178,627088
bench_small_input,decode,3,52561616,634214
bench_small_input,decode,3,53125146,641340
bench_small_input,decode,3,53732845,648466
bench_small_input,decode,3,54323514,655592
bench_small_input,decode,3,54957637,662718
bench_small_input,decode,3,55519089,669844
bench_small_input,decode,3,56077372,676970
bench_small_input,decode,3,56793754,684096
bench_small_input,decode,3,57253985,691222
bench_small_input,decode,3,57922192,698348
bench_small_input,decode,3,58556191,705474
bench_small_input,decode,3,59194060,712600
