group,function,value,sample_time_nanos,iteration_count
bench_small_input,decode_reuse_buf,50,585042,11788
bench_small_input,decode_reuse_buf,50,1185312,23576
bench_small_input,decode_reuse_buf,50,1753783,35364
bench_small_input,decode_reuse_buf,50,2340549,47152
bench_small_input,decode_reuse_buf,50,2922841,58940
bench_small_input,decode_reuse_buf,50,3511329,70728
bench_small_input,decode_reuse_buf,50,4093825,82516
bench_small_input,decode_reuse_buf,50,4679442,94304
bench_small_input,decode_reuse_buf,50,5264389,106092
bench_small_input,decode_reuse_buf,50,5848164,117880
bench_small_input,decode_reuse_buf,50,6439116,129668
bench_small_input,decode_reuse_buf,50,7022132,141456
bench_small_input,decode_reuse_buf,50,7602787,153244
bench_small_input,decode_reuse_buf,50,8190369,165032
bench_small_input,decode_reuse_buf,50,8777481,176820
bench_small_input,decode_reuse_buf,50,9358971,188608
bench_small_input,decode_reuse_buf,50,9944855,200396
bench_small_input,decode_reuse_buf,50,10529637,212184
bench_small_input,decode_reuse_buf,50,11112398,223972
bench_small_input,decode_reuse_buf,50,11698601,235760
bench_small_input,decode_reuse_buf,50,12282533,247548
bench_small_input,decode_reuse_buf,50,12867138,259336
bench_small_input,decode_reuse_buf,50,13451625,271124
bench_small_input,decode_reuse_buf,50,14039768,282912
bench_small_input,decode_reuse_buf,50,14623745,294700
bench_small_input,decode_reuse_buf,50,15206166,306488
bench_small_input,decode_reuse_buf,50,15791597,318276
bench_small_input,decode_reuse_buf,50,16375448,330064
bench_small_input,decode_reuse_buf,50,16962134,341852
bench_small_input,decode_reuse_buf,50,17551673,353640
bench_small_input,decode_reuse_buf,50,18131303,365428
bench_small_input,decode_reuse_buf,50,18715375,377216
bench_small_input,decode_reuse_buf,50,19301034,389004
bench_small_input,decode_reuse_buf,50,19886415,400792
bench_small_input,decode_reuse_buf,50,20472046,412580
bench_small_input,decode_reuse_buf,50,21077497,424368
bench_small_input,decode_reuse_buf,50,21638061,436156
bench_small_input,decode_reuse_buf,50,22220961,447944
bench_small_input,decode_reuse_buf,50,22809524,459732
bench_small_input,decode_reuse_buf,50,23396995,471520
bench_small_input,decode_reuse_buf,50,23982479,483308
bench_small_input,decode_reuse_buf,50,24564189,495096
bench_small_input,decode_reuse_buf,50,25148507,506884
bench_small_input,decode_reuse_buf,50,25757160,518672
bench_small_input,decode_reuse_buf,50,26316745,530460
bench_small_input,decode_reuse_buf,50,26905745,542248
bench_small_input,decode_reuse_buf,50,27487814,554036
bench_small_input,decode_reuse_buf,50,28078244,565824
bench_small_input,decode_reuse_buf,50,28657320,577612
bench_small_input,decode_reuse_buf,50,29251326,589400
bench_small_input,decode_reuse_buf,50,29833044,601188
bench_small_input,decode_reuse_buf,50,30452681,612976
bench_small_input,decode_reuse_buf,50,30995910,624764
bench_small_input,decode_reuse_buf,50,31587763,636552
bench_small_input,decode_reuse_buf,50,32167170,648340
bench_small_input,decode_reuse_buf,50,32753392,660128
bench_small_input,decode_reuse_buf,50,33495814,671916
bench_small_input,decode_reuse_buf,50,33937132,683704
bench_small_input,decode_reuse_buf,50,34513251,695492
bench_small_input,decode_reuse_buf,50,35111360,707280
bench_small_input,decode_reuse_buf,50,35685878,719068
bench_small_input,decode_reuse_buf,50,36266457,730856
bench_small_input,decode_reuse_buf,50,36851265,742644
bench_small_input,decode_reuse_buf,50,37435428,754432
bench_small_input,decode_reuse_buf,50,38020614,766220
bench_small_input,decode_reuse_buf,50,38609012,778008
bench_small_input,decode_reuse_buf,50,39197007,789796
bench_small_input,decode_reuse_buf,50,39785341,801584
bench_small_input,decode_reuse_buf,50,40360349,813372
bench_small_input,decode_reuse_buf,50,40944810,825160
bench_small_input,decode_reuse_buf,50,41530879,836948
bench_small_input,decode_reuse_buf,50,42114593,848736
bench_small_input,decode_reuse_buf,50,42697953,860524
bench_small_input,decode_reuse_buf,50,43300671,872312
bench_small_input,decode_reuse_buf,50,43868422,884100
bench_small_input,decode_reuse_buf,50,44450908,895888
bench_small_input,decode_reuse_buf,50,45036008,907676
bench_small_input,decode_reuse_buf,50,45674485,919464
bench_small_input,decode_reuse_buf,50,46224978,931252
bench_small_input,decode_reuse_buf,50,46813629,943040
bench_small_input,decode_reuse_buf,50,47411854,954828
bench_small_input,decode_reuse_buf,50,48155410,966616
bench_small_input,decode_reuse_buf,50,48600924,978404
bench_small_input,decode_reuse_buf,50,49162961,990192
bench_small_input,decode_reuse_buf,50,49718534,1001980
bench_small_input,decode_reuse_buf,50,50320989,1013768
bench_small_input,decode_reuse_buf,50,50907287,1025556
bench_small_input,decode_reuse_buf,50,51505591,1037344
bench_small_input,decode_reuse_buf,50,52062729,1049132
bench_small_input,decode_reuse_buf,50,52643767,1060920
bench_small_input,decode_reuse_buf,50,53222569,1072708
bench_small_input,decode_reuse_buf,50,53821081,1084496
bench_small_input,decode_reuse_buf,50,54392006,1096284
bench_small_input,decode_reuse_buf,50,54990951,1108072
bench_small_input,decode_reuse_buf,50,55653612,1119860
bench_small_input,decode_reuse_buf,50,56148869,1131648
bench_small_input,decode_reuse_buf,50,56738599,1143436
bench_small_input,decode_reuse_buf,50,57354645,1155224
bench_small_input,decode_reuse_buf,50,57910080,1167012
bench_small_input,decode_reuse_buf,50,58495930,1178800
