group,function,value,sample_time_nanos,iteration_count
bench_small_input,decode_reuse_buf,50,583721,10942
bench_small_input,decode_reuse_buf,50,1166526,21884
bench_small_input,decode_reuse_buf,50,1749438,32826
bench_small_input,decode_reuse_buf,50,2336861,43768
bench_small_input,decode_reuse_buf,50,2920786,54710
bench_small_input,decode_reuse_buf,50,3507331,65652
bench_small_input,decode_reuse_buf,50,4089966,76594
bench_small_input,decode_reuse_buf,50,4672209,87536
bench_small_input,decode_reuse_buf,50,5258769,98478
bench_small_input,decode_reuse_buf,50,5850686,109420
bench_small_input,decode_reuse_buf,50,6449893,120362
bench_small_input,decode_reuse_buf,50,7011742,131304
bench_small_input,decode_reuse_buf,50,7597102,142246
bench_small_input,decode_reuse_buf,50,8182930,153188
bench_small_input,decode_reuse_buf,50,8784268,164130
bench_small_input,decode_reuse_buf,50,9347844,175072
bench_small_input,decode_reuse_buf,50,9947617,186014
bench_small_input,decode_reuse_buf,50,10554499,196956
bench_small_input,decode_reuse_buf,50,11104821,207898
bench_small_input,decode_reuse_buf,50,11678034,218840
bench_small_input,decode_reuse_buf,50,12280762,229782
bench_small_input,decode_reuse_buf,50,12895061,240724
bench_small_input,decode_reuse_buf,50,34732254,251666
bench_small_input,decode_reuse_buf,50,14115812,262608
bench_small_input,decode_reuse_buf,50,14666071,273550
bench_small_input,decode_reuse_buf,50,15280364,284492
bench_small_input,decode_reuse_buf,50,16130780,295434
bench_small_input,decode_reuse_buf,50,16420928,306376
bench_small_input,decode_reuse_buf,50,17005760,317318
bench_small_input,decode_reuse_buf,50,17572156,328260
bench_small_input,decode_reuse_buf,50,18170129,339202
bench_small_input,decode_reuse_buf,50,18798745,350144
bench_small_input,decode_reuse_buf,50,19231237,361086
bench_small_input,decode_reuse_buf,50,19908144,372028
bench_small_input,decode_reuse_buf,50,20363737,382970
bench_small_input,decode_reuse_buf,50,21115426,393912
bench_small_input,decode_reuse_buf,50,21595908,404854
bench_small_input,decode_reuse_buf,50,22206355,415796
bench_small_input,decode_reuse_buf,50,22722200,426738
bench_small_input,decode_reuse_buf,50,23084628,437680
bench_small_input,decode_reuse_buf,50,23961098,448622
bench_small_input,decode_reuse_buf,50,24533468,459564
bench_small_input,decode_reuse_buf,50,25189046,470506
bench_small_input,decode_reuse_buf,50,25897617,481448
bench_small_input,decode_reuse_buf,50,26424375,492390
bench_small_input,decode_reuse_buf,50,26869927,503332
bench_small_input,decode_reuse_buf,50,27586470,514274
bench_small_input,decode_reuse_buf,50,28061338,525216
bench_small_input,decode_reuse_buf,50,28624191,536158
bench_small_input,decode_reuse_buf,50,29069447,547100
bench_small_input,decode_reuse_buf,50,29496997,558042
bench_small_input,decode_reuse_buf,50,30151493,568984
bench_small_input,decode_reuse_buf,50,31003821,579926
bench_small_input,decode_reuse_buf,50,31509380,590868
bench_small_input,decode_reuse_buf,50,32258047,601810
bench_small_input,decode_reuse_buf,50,32965621,612752
bench_small_input,decode_reuse_buf,50,36398246,623694
bench_small_input,decode_reuse_buf,50,33972158,634636
bench_small_input,decode_reuse_buf,50,34588329,645578
bench_small_input,decode_reuse_buf,50,35120759,656520
bench_small_input,decode_reuse_buf,50,35793361,667462
bench_small_input,decode_reuse_buf,50,36425362,678404
bench_small_input,decode_reuse_buf,50,36983751,689346
bench_small_input,decode_reuse_buf,50,37462772,700288
bench_small_input,decode_reuse_buf,50,37958939,711230
bench_small_input,decode_reuse_buf,50,38273091,722172
bench_small_input,decode_reuse_buf,50,38521794,733114
bench_small_input,decode_reuse_buf,50,38995012,744056
bench_small_input,decode_reuse_buf,50,40210369,754998
bench_small_input,decode_reuse_buf,50,40519653,765940
bench_small_input,decode_reuse_buf,50,41380427,776882
bench_small_input,decode_reuse_buf,50,42213385,787824
bench_small_input,decode_reuse_buf,50,42599361,798766
bench_small_input,decode_reuse_buf,50,42991708,809708
bench_small_input,decode_reuse_buf,50,43908621,820650
bench_small_input,decode_reuse_buf,50,43984811,831592
bench_small_input,decode_reuse_buf,50,45632455,842534
bench_small_input,decode_reuse_buf,50,45061475,853476
bench_small_input,decode_reuse_buf,50,46069634,864418
bench_small_input,decode_reuse_buf,50,46594205,875360
bench_small_input,decode_reuse_buf,50,46328104,886302
bench_small_input,decode_reuse_buf,50,47454564,897244
bench_small_input,decode_reuse_buf,50,48117192,908186
bench_small_input,decode_reuse_buf,50,47997264,919128
bench_small_input,decode_reuse_buf,50,49518236,930070
bench_small_input,decode_reuse_buf,50,49777956,941012
bench_small_input,decode_reuse_buf,50,50343835,951954
bench_small_input,decode_reuse_buf,50,51007622,962896
bench_small_input,decode_reuse_buf,50,51746745,973838
bench_small_input,decode_reuse_buf,50,52634992,984780
bench_small_input,decode_reuse_buf,50,53179858,995722
bench_small_input,decode_reuse_buf,50,53863813,1006664
bench_small_input,decode_reuse_buf,50,54655664,1017606
bench_small_input,decode_reuse_buf,50,55310442,1028548
bench_small_input,decode_reuse_buf,50,55735685,1039490
bench_small_input,decode_reuse_buf,50,56304783,1050432
bench_small_input,decode_reuse_buf,50,56280954,1061374
bench_small_input,decode_reuse_buf,50,56741120,1072316
bench_small_input,decode_reuse_buf,50,57335505,1083258
bench_small_input,decode_reuse_buf,50,57837625,1094200
