group,function,value,sample_time_nanos,iteration_count
bench_small_input,decode_slice,100,571475,8641
bench_small_input,decode_slice,100,1117412,17282
bench_small_input,decode_slice,100,1752350,25923
bench_small_input,decode_slice,100,2283564,34564
bench_small_input,decode_slice,100,3094508,43205
bench_small_input,decode_slice,100,3522997,51846
bench_small_input,decode_slice,100,4134880,60487
bench_small_input,decode_slice,100,4714134,69128
bench_small_input,decode_slice,100,5162884,77769
bench_small_input,decode_slice,100,5849695,86410
bench_small_input,decode_slice,100,6288232,95051
bench_small_input,decode_slice,100,6980200,103692
bench_small_input,decode_slice,100,7496744,112333
bench_small_input,decode_slice,100,7953134,120974
bench_small_input,decode_slice,100,8644080,129615
bench_small_input,decode_slice,100,9389197,138256
bench_small_input,decode_slice,100,10109312,146897
bench_small_input,decode_slice,100,10251490,155538
bench_small_input,decode_slice,100,10944200,164179
bench_small_input,decode_slice,100,11552293,172820
bench_small_input,decode_slice,100,12249518,181461
bench_small_input,decode_slice,100,12718386,190102
bench_small_input,decode_slice,100,13230172,198743
bench_small_input,decode_slice,100,14229336,207384
bench_small_input,decode_slice,100,14748701,216025
bench_small_input,decode_slice,100,15168993,224666
bench_small_input,decode_slice,100,15612336,233307
bench_small_input,decode_slice,100,16177150,241948
bench_small_input,decode_slice,100,16667995,250589
bench_small_input,decode_slice,100,17482101,259230
bench_small_input,decode_slice,100,18312774,267871
bench_small_input,decode_slice,100,18545354,276512
bench_small_input,decode_slice,100,19281384,285153
bench_small_input,decode_slice,100,19763603,293794
bench_small_input,decode_slice,100,20013884,302435
bench_small_input,decode_slice,100,21080300,311076
bench_small_input,decode_slice,100,21903669,319717
bench_small_input,decode_slice,100,22163083,328358
bench_small_input,decode_slice,100,22355089,336999
bench_small_input,decode_slice,100,23167666,345640
bench_small_input,decode_slice,100,23909135,354281
bench_small_input,decode_slice,100,24199602,362922
bench_small_input,decode_slice,100,25023105,371563
bench_small_input,decode_slice,100,25323635,380204
bench_small_input,decode_slice,100,26434991,388845
bench_small_input,decode_slice,100,26681857,397486
bench_small_input,decode_slice,100,26956266,406127
bench_small_input,decode_slice,100,28094147,414768
bench_small_input,decode_slice,100,28802014,423409
bench_small_input,decode_slice,100,28868749,432050
bench_small_input,decode_slice,100,29127689,440691
bench_small_input,decode_slice,100,30685871,449332
bench_small_input,decode_slice,100,30883894,457973
bench_small_input,decode_slice,100,30961825,466614
bench_small_input,decode_slice,100,32416897,475255
bench_small_input,decode_slice,100,32411842,483896
bench_small_input,decode_slice,100,32905643,492537
bench_small_input,decode_slice,100,33942406,501178
bench_small_input,decode_slice,100,34412188,509819
bench_small_input,decode_slice,100,34801460,518460
bench_small_input,decode_slice,100,35575122,527101
bench_small_input,decode_slice,100,35902112,535742
bench_small_input,decode_slice,100,36276034,544383
bench_small_input,decode_slice,100,37683707,553024
bench_small_input,decode_slice,100,38051128,561665
bench_small_input,decode_slice,100,38182713,570306
bench_small_input,decode_slice,100,38971145,578947
bench_small_input,decode_slice,100,39140915,587588
bench_small_input,decode_slice,100,40269406,596229
bench_small_input,decode_slice,100,40569679,604870
bench_small_input,decode_slice,100,40646821,613511
bench_small_input,decode_slice,100,41602617,622152
bench_small_input,decode_slice,100,42285724,630793
bench_small_input,decode_slice,100,43326811,639434
bench_small_input,decode_slice,100,43395972,648075
bench_small_input,decode_slice,100,44447054,656716
bench_small_input,decode_slice,100,44733815,665357
bench_small_input,decode_slice,100,45430245,673998
bench_small_input,decode_slice,100,46114164,682639
bench_small_input,decode_slice,100,46406516,691280
bench_small_input,decode_slice,100,47412737,699921
bench_small_input,decode_slice,100,47211961,708562
bench_small_input,decode_slice,100,48493393,717203
bench_small_input,decode_slice,100,48530662,725844
bench_small_input,decode_slice,100,49548345,734485
bench_small_input,decode_slice,100,50035049,743126
bench_small_input,decode_slice,100,50881011,751767
bench_small_input,decode_slice,100,50993432,760408
bench_small_input,decode_slice,100,51853059,769049
bench_small_input,decode_slice,100,51911814,777690
bench_small_input,decode_slice,100,53008699,786331
bench_small_input,decode_slice,100,53002344,794972
bench_small_input,decode_slice,100,54152718,803613
bench_small_input,decode_slice,100,54186343,812254
bench_small_input,decode_slice,100,55475334,820895
bench_small_input,decode_slice,100,55703837,829536
bench_small_input,decode_slice,100,56183484,838177
bench_small_input,decode_slice,100,57697580,846818
bench_small_input,decode_slice,100,58046213,855459
bench_small_input,decode_slice,100,58577984,864100
