group,function,value,sample_time_nanos,iteration_count
bench_small_input,decode_slice,50,591564,14649
bench_small_input,decode_slice,50,1182640,29298
bench_small_input,decode_slice,50,1773922,43947
bench_small_input,decode_slice,50,2367877,58596
bench_small_input,decode_slice,50,2959013,73245
bench_small_input,decode_slice,50,3549368,87894
bench_small_input,decode_slice,50,4143336,102543
bench_small_input,decode_slice,50,4737416,117192
bench_small_input,decode_slice,50,5323593,131841
bench_small_input,decode_slice,50,5918653,146490
bench_small_input,decode_slice,50,6510993,161139
bench_small_input,decode_slice,50,7101700,175788
bench_small_input,decode_slice,50,7691668,190437
bench_small_input,decode_slice,50,8286521,205086
bench_small_input,decode_slice,50,8878345,219735
bench_small_input,decode_slice,50,9472958,234384
bench_small_input,decode_slice,50,10059034,249033
bench_small_input,decode_slice,50,10651189,263682
bench_small_input,decode_slice,50,11260741,278331
bench_small_input,decode_slice,50,11865022,292980
bench_small_input,decode_slice,50,12466086,307629
bench_small_input,decode_slice,50,13056342,322278
bench_small_input,decode_slice,50,13640775,336927
bench_small_input,decode_slice,50,14237441,351576
bench_small_input,decode_slice,50,14848089,366225
bench_small_input,decode_slice,50,15477311,380874
bench_small_input,decode_slice,50,15977846,395523
bench_small_input,decode_slice,50,16580356,410172
bench_small_input,decode_slice,50,17166366,424821
bench_small_input,decode_slice,50,17792220,439470
bench_small_input,decode_slice,50,18338793,454119
bench_small_input,decode_slice,50,18935469,468768
bench_small_input,decode_slice,50,19543137,483417
bench_small_input,decode_slice,50,20135221,498066
bench_small_input,decode_slice,50,20754353,512715
bench_small_input,decode_slice,50,21354535,527364
bench_small_input,decode_slice,50,21895367,542013
bench_small_input,decode_slice,50,22514684,556662
bench_small_input,decode_slice,50,23072262,571311
bench_small_input,decode_slice,50,23682957,585960
bench_small_input,decode_slice,50,24255589,600609
bench_small_input,decode_slice,50,24842402,615258
bench_small_input,decode_slice,50,25472396,629907
bench_small_input,decode_slice,50,26067040,644556
bench_small_input,decode_slice,50,26641353,659205
bench_small_input,decode_slice,50,27213478,673854
bench_small_input,decode_slice,50,27808756,688503
bench_small_input,decode_slice,50,28398453,703152
bench_small_input,decode_slice,50,29003095,717801
bench_small_input,decode_slice,50,29581504,732450
bench_small_input,decode_slice,50,30194029,747099
bench_small_input,decode_slice,50,30785830,761748
bench_small_input,decode_slice,50,31348947,776397
bench_small_input,decode_slice,50,31952352,791046
bench_small_input,decode_slice,50,32549558,805695
bench_small_input,decode_slice,50,33130020,820344
bench_small_input,decode_slice,50,33745248,834993
bench_small_input,decode_slice,50,34346859,849642
bench_small_input,decode_slice,50,34927663,864291
bench_small_input,decode_slice,50,35494933,878940
bench_small_input,decode_slice,50,36103479,893589
bench_small_input,decode_slice,50,36673298,908238
bench_small_input,decode_slice,50,37277043,922887
bench_small_input,decode_slice,50,37890846,937536
bench_small_input,decode_slice,50,38475637,952185
bench_small_input,decode_slice,50,39044618,966834
bench_small_input,decode_slice,50,39654315,981483
bench_small_input,decode_slice,50,40257156,996132
bench_small_input,decode_slice,50,40827251,1010781
bench_small_input,decode_slice,50,41439837,1025430
bench_small_input,decode_slice,50,42042340,1040079
bench_small_input,decode_slice,50,42607466,1054728
bench_small_input,decode_slice,50,43231871,1069377
bench_small_input,decode_slice,50,43779628,1084026
bench_small_input,decode_slice,50,44382577,1098675
bench_small_input,decode_slice,50,44987514,1113324
bench_small_input,decode_slice,50,45586196,1127973
bench_small_input,decode_slice,50,46170829,1142622
bench_small_input,decode_slice,50,46793813,1157271
bench_small_input,decode_slice,50,47355302,1171920
bench_small_input,decode_slice,50,47928794,1186569
bench_small_input,decode_slice,50,48547752,1201218
bench_small_input,decode_slice,50,49155672,1215867
bench_small_input,decode_slice,50,49694786,1230516
bench_small_input,decode_slice,50,50283514,1245165
bench_small_input,decode_slice,50,50938085,1259814
bench_small_input,decode_slice,50,51491465,1274463
bench_small_input,decode_slice,50,52132162,1289112
bench_small_input,decode_slice,50,52691884,1303761
bench_small_input,decode_slice,50,53285687,1318410
bench_small_input,decode_slice,50,53862448,1333059
bench_small_input,decode_slice,50,54456155,1347708
bench_small_input,decode_slice,50,55044075,1362357
bench_small_input,decode_slice,50,55645077,1377006
bench_small_input,decode_slice,50,56201931,1391655
bench_small_input,decode_slice,50,56847489,1406304
bench_small_input,decode_slice,50,57460091,1420953
bench_small_input,decode_slice,50,58016775,1435602
bench_small_input,decode_slice,50,58606568,1450251
bench_small_input,decode_slice,50,59160676,1464900
