group,function,value,sample_time_nanos,iteration_count
bench_small_input,encode,500,604926,1831
bench_small_input,encode,500,1125399,3662
bench_small_input,encode,500,1781352,5493
bench_small_input,encode,500,2302798,7324
bench_small_input,encode,500,2937232,9155
bench_small_input,encode,500,3524845,10986
bench_small_input,encode,500,4045479,12817
bench_small_input,encode,500,4548160,14648
bench_small_input,encode,500,5211897,16479
bench_small_input,encode,500,5790071,18310
bench_small_input,encode,500,6300038,20141
bench_small_input,encode,500,7078880,21972
bench_small_input,encode,500,7773609,23803
bench_small_input,encode,500,8271198,25634
bench_small_input,encode,500,8680594,27465
bench_small_input,encode,500,9305050,29296
bench_small_input,encode,500,9952448,31127
bench_small_input,encode,500,10548542,32958
bench_small_input,encode,500,11117617,34789
bench_small_input,encode,500,11626108,36620
bench_small_input,encode,500,12268055,38451
bench_small_input,encode,500,13006301,40282
bench_small_input,encode,500,13542711,42113
bench_small_input,encode,500,13889565,43944
bench_small_input,encode,500,14593134,45775
bench_small_input,encode,500,15196101,47606
bench_small_input,encode,500,15616491,49437
bench_small_input,encode,500,16277347,51268
bench_small_input,encode,500,17058490,53099
bench_small_input,encode,500,17630821,54930
bench_small_input,encode,500,18301211,56761
bench_small_input,encode,500,18670638,58592
bench_small_input,encode,500,19264804,60423
bench_small_input,encode,500,19924577,62254
bench_small_input,encode,500,20607041,64085
bench_small_input,encode,500,21017691,65916
bench_small_input,encode,500,21672662,67747
bench_small_input,encode,500,22055760,69578
bench_small_input,encode,500,23482492,71409
bench_small_input,encode,500,24275132,73240
bench_small_input,encode,500,24154370,75071
bench_small_input,encode,500,24458005,76902
bench_small_input,encode,500,25563361,78733
bench_small_input,encode,500,25686636,80564
bench_small_input,encode,500,26422320,82395
bench_small_input,encode,500,27434442,84226
bench_small_input,encode,500,27955254,86057
bench_small_input,encode,500,28479672,87888
bench_small_input,encode,500,28444681,89719
bench_small_input,encode,500,29045814,91550
bench_small_input,encode,500,29958749,93381
bench_small_input,encode,500,36705355,95212
bench_small_input,encode,500,34195920,97043
bench_small_input,encode,500,33844941,98874
bench_small_input,encode,500,34475991,100705
bench_small_input,encode,500,35111320,102536
bench_small_input,encode,500,35701289,104367
bench_small_input,encode,500,36333194,106198
bench_small_input,encode,500,36931866,108029
bench_small_input,encode,500,37561996,109860
bench_small_input,encode,500,38161753,111691
bench_small_input,encode,500,38799235,113522
bench_small_input,encode,500,39446842,115353
bench_small_input,encode,500,40082378,117184
bench_small_input,encode,500,40754796,119015
bench_small_input,encode,500,41212865,120846
bench_small_input,encode,500,39804295,122677
bench_small_input,encode,500,40372397,124508
bench_small_input,encode,500,41030364,126339
bench_small_input,encode,500,41508569,128170
bench_small_input,encode,500,42108610,130001
bench_small_input,encode,500,42686511,131832
bench_small_input,encode,500,43288439,133663
bench_small_input,encode,500,43910231,135494
bench_small_input,encode,500,44490260,137325
bench_small_input,encode,500,45077381,139156
bench_small_input,encode,500,45693859,140987
bench_small_input,encode,500,46248488,142818
bench_small_input,encode,500,46836243,144649
bench_small_input,encode,500,47448148,146480
bench_small_input,encode,500,48064568,148311
bench_small_input,encode,500,48620661,150142
bench_small_input,encode,500,49213262,151973
bench_small_input,encode,500,49804028,153804
bench_small_input,encode,500,50408287,155635
bench_small_input,encode,500,50963612,157466
bench_small_input,encode,500,51613832,159297
bench_small_input,encode,500,52197265,161128
bench_small_input,encode,500,52816443,162959
bench_small_input,encode,500,53520991,164790
bench_small_input,encode,500,53994123,166621
bench_small_input,encode,500,54563199,168452
bench_small_input,encode,500,55150564,170283
bench_small_input,encode,500,55716535,172114
bench_small_input,encode,500,56352418,173945
bench_small_input,encode,500,56926483,175776
bench_small_input,encode,500,57498983,177607
bench_small_input,encode,500,58119038,179438
bench_small_input,encode,500,58708475,181269
bench_small_input,encode,500,59308223,183100
