group,function,value,sample_time_nanos,iteration_count
bench_small_input,encode_display,3072,596953,290
bench_small_input,encode_display,3072,1194554,580
bench_small_input,encode_display,3072,1787475,870
bench_small_input,encode_display,3072,2383986,1160
bench_small_input,encode_display,3072,2976274,1450
bench_small_input,encode_display,3072,3579372,1740
bench_small_input,encode_display,3072,4168634,2030
bench_small_input,encode_display,3072,4760776,2320
bench_small_input,encode_display,3072,5360370,2610
bench_small_input,encode_display,3072,5959726,2900
bench_small_input,encode_display,3072,6552628,3190
bench_small_input,encode_display,3072,7151041,3480
bench_small_input,encode_display,3072,7778915,3770
bench_small_input,encode_display,3072,8350196,4060
bench_small_input,encode_display,3072,8938356,4350
bench_small_input,encode_display,3072,9534253,4640
bench_small_input,encode_display,3072,10117443,4930
bench_small_input,encode_display,3072,10710298,5220
bench_small_input,encode_display,3072,11319373,5510
bench_small_input,encode_display,3072,11911712,5800
bench_small_input,encode_display,3072,12519826,6090
bench_small_input,encode_display,3072,13109224,6380
bench_small_input,encode_display,3072,13702689,6670
bench_small_input,encode_display,3072,14349532,6960
bench_small_input,encode_display,3072,14890520,7250
bench_small_input,encode_display,3072,15471934,7540
bench_small_input,encode_display,3072,16094935,7830
bench_small_input,encode_display,3072,16654687,8120
bench_small_input,encode_display,3072,17239711,8410
bench_small_input,encode_display,3072,17848918,8700
bench_small_input,encode_display,3072,18462968,8990
bench_small_input,encode_display,3072,19081922,9280
bench_small_input,encode_display,3072,19605366,9570
bench_small_input,encode_display,3072,20204801,9860
bench_small_input,encode_display,3072,20865142,10150
bench_small_input,encode_display,3072,21457923,10440
bench_small_input,encode_display,3072,22058509,10730
bench_small_input,encode_display,3072,22672388,11020
bench_small_input,encode_display,3072,23233476,11310
bench_small_input,encode_display,3072,23842920,11600
bench_small_input,encode_display,3072,24441166,11890
bench_small_input,encode_display,3072,25003813,12180
bench_small_input,encode_display,3072,25681605,12470
bench_small_input,encode_display,3072,26236327,12760
bench_small_input,encode_display,3072,26827633,13050
bench_small_input,encode_display,3072,27363000,13340
bench_small_input,encode_display,3072,28164076,13630
bench_small_input,encode_display,3072,28592284,13920
bench_small_input,encode_display,3072,29208898,14210
bench_small_input,encode_display,3072,29821793,14500
bench_small_input,encode_display,3072,30480608,14790
bench_small_input,encode_display,3072,31030689,15080
bench_small_input,encode_display,3072,31583181,15370
bench_small_input,encode_display,3072,32180819,15660
bench_small_input,encode_display,3072,32807863,15950
bench_small_input,encode_display,3072,33384891,16240
bench_small_input,encode_display,3072,34099814,16530
bench_small_input,encode_display,3072,34628608,16820
bench_small_input,encode_display,3072,35223187,17110
bench_small_input,encode_display,3072,35778477,17400
bench_small_input,encode_display,3072,36383271,17690
bench_small_input,encode_display,3072,36948765,17980
bench_small_input,encode_display,3072,37514753,18270
bench_small_input,encode_display,3072,38141635,18560
bench_small_input,encode_display,3072,38727192,18850
bench_small_input,encode_display,3072,39410902,19140
bench_small_input,encode_display,3072,39953935,19430
bench_small_input,encode_display,3072,40506252,19720
bench_small_input,encode_display,3072,41149348,20010
bench_small_input,encode_display,3072,41719768,20300
bench_small_input,encode_display,3072,42338431,20590
bench_small_input,encode_display,3072,42898849,20880
bench_small_input,encode_display,3072,43411392,21170
bench_small_input,encode_display,3072,44020491,21460
bench_small_input,encode_display,3072,44702623,21750
bench_small_input,encode_display,3072,45322004,22040
bench_small_input,encode_display,3072,45952695,22330
bench_small_input,encode_display,3072,46542795,22620
bench_small_input,encode_display,3072,47143873,22910
bench_small_input,encode_display,3072,47736757,23200
bench_small_input,encode_display,3072,48346661,23490
bench_small_input,encode_display,3072,48867055,23780
bench_small_input,encode_display,3072,49513468,24070
bench_small_input,encode_display,3072,50075584,24360
bench_small_input,encode_display,3072,50637417,24650
bench_small_input,encode_display,3072,51300725,24940
bench_small_input,encode_display,3072,52000753,25230
bench_small_input,encode_display,3072,52461781,25520
bench_small_input,encode_display,3072,53018663,25810
bench_small_input,encode_display,3072,53705273,26100
bench_small_input,encode_display,3072,54268458,26390
bench_small_input,encode_display,3072,54784498,26680
bench_small_input,encode_display,3072,55384954,26970
bench_small_input,encode_display,3072,56103880,27260
bench_small_input,encode_display,3072,56546659,27550
bench_small_input,encode_display,3072,57226746,27840
bench_small_input,encode_display,3072,57878669,28130
bench_small_input,encode_display,3072,58487191,28420
bench_small_input,encode_display,3072,59067591,28710
bench_small_input,encode_display,3072,59882270,29000
