group,function,value,sample_time_nanos,iteration_count
bench_small_input,encode_display,50,591030,5190
bench_small_input,encode_display,50,1181196,10380
bench_small_input,encode_display,50,1772524,15570
bench_small_input,encode_display,50,2362828,20760
bench_small_input,encode_display,50,2952159,25950
bench_small_input,encode_display,50,3540847,31140
bench_small_input,encode_display,50,4140973,36330
bench_small_input,encode_display,50,4722851,41520
bench_small_input,encode_display,50,5309489,46710
bench_small_input,encode_display,50,5903134,51900
bench_small_input,encode_display,50,6502549,57090
bench_small_input,encode_display,50,7102749,62280
bench_small_input,encode_display,50,7681851,67470
bench_small_input,encode_display,50,8272830,72660
bench_small_input,encode_display,50,8852344,77850
bench_small_input,encode_display,50,9465106,83040
bench_small_input,encode_display,50,10108462,88230
bench_small_input,encode_display,50,10640934,93420
bench_small_input,encode_display,50,11229339,98610
bench_small_input,encode_display,50,11817643,103800
bench_small_input,encode_display,50,12403490,108990
bench_small_input,encode_display,50,12990833,114180
bench_small_input,encode_display,50,13585584,119370
bench_small_input,encode_display,50,14175399,124560
bench_small_input,encode_display,50,14764755,129750
bench_small_input,encode_display,50,15393332,134940
bench_small_input,encode_display,50,15937659,140130
bench_small_input,encode_display,50,16572949,145320
bench_small_input,encode_display,50,17176725,150510
bench_small_input,encode_display,50,17767689,155700
bench_small_input,encode_display,50,18413715,160890
bench_small_input,encode_display,50,18955552,166080
bench_small_input,encode_display,50,19577292,171270
bench_small_input,encode_display,50,20108245,176460
bench_small_input,encode_display,50,20715655,181650
bench_small_input,encode_display,50,21262038,186840
bench_small_input,encode_display,50,21851541,192030
bench_small_input,encode_display,50,22442009,197220
bench_small_input,encode_display,50,23027502,202410
bench_small_input,encode_display,50,23626240,207600
bench_small_input,encode_display,50,24205535,212790
bench_small_input,encode_display,50,24854376,217980
bench_small_input,encode_display,50,25382880,223170
bench_small_input,encode_display,50,26004190,228360
bench_small_input,encode_display,50,26576433,233550
bench_small_input,encode_display,50,27150933,238740
bench_small_input,encode_display,50,27744608,243930
bench_small_input,encode_display,50,28335583,249120
bench_small_input,encode_display,50,28934340,254310
bench_small_input,encode_display,50,29630868,259500
bench_small_input,encode_display,50,30175484,264690
bench_small_input,encode_display,50,30756211,269880
bench_small_input,encode_display,50,31348917,275070
bench_small_input,encode_display,50,31908189,280260
bench_small_input,encode_display,50,32524116,285450
bench_small_input,encode_display,50,33116603,290640
bench_small_input,encode_display,50,33684715,295830
bench_small_input,encode_display,50,34256122,301020
bench_small_input,encode_display,50,34860667,306210
bench_small_input,encode_display,50,35460124,311400
bench_small_input,encode_display,50,36058155,316590
bench_small_input,encode_display,50,36608179,321780
bench_small_input,encode_display,50,37197442,326970
bench_small_input,encode_display,50,37792498,332160
bench_small_input,encode_display,50,38432904,337350
bench_small_input,encode_display,50,38970616,342540
bench_small_input,encode_display,50,39592055,347730
bench_small_input,encode_display,50,40144554,352920
bench_small_input,encode_display,50,40769345,358110
bench_small_input,encode_display,50,41383926,363300
bench_small_input,encode_display,50,41959376,368490
bench_small_input,encode_display,50,42522905,373680
bench_small_input,encode_display,50,43116662,378870
bench_small_input,encode_display,50,43738553,384060
bench_small_input,encode_display,50,44317919,389250
bench_small_input,encode_display,50,44918997,394440
bench_small_input,encode_display,50,45528877,399630
bench_small_input,encode_display,50,46066781,404820
bench_small_input,encode_display,50,46773171,410010
bench_small_input,encode_display,50,47243841,415200
bench_small_input,encode_display,50,47891712,420390
bench_small_input,encode_display,50,48462406,425580
bench_small_input,encode_display,50,49060164,430770
bench_small_input,encode_display,50,49662587,435960
bench_small_input,encode_display,50,50232331,441150
bench_small_input,encode_display,50,50854719,446340
bench_small_input,encode_display,50,51393778,451530
bench_small_input,encode_display,50,52056083,456720
bench_small_input,encode_display,50,52775273,461910
bench_small_input,encode_display,50,53264678,467100
bench_small_input,encode_display,50,53802219,472290
bench_small_input,encode_display,50,54352095,477480
bench_small_input,encode_display,50,54998724,482670
bench_small_input,encode_display,50,55500099,487860
bench_small_input,encode_display,50,56110272,493050
bench_small_input,encode_display,50,56735047,498240
bench_small_input,encode_display,50,57311441,503430
bench_small_input,encode_display,50,57901616,508620
bench_small_input,encode_display,50,58504372,513810
bench_small_input,encode_display,50,59056053,519000
