group,function,value,sample_time_nanos,iteration_count
bench_small_input,encode_reuse_buf,3,582129,18225
bench_small_input,encode_reuse_buf,3,1149993,36450
bench_small_input,encode_reuse_buf,3,1754400,54675
bench_small_input,encode_reuse_buf,3,2342679,72900
bench_small_input,encode_reuse_buf,3,2913745,91125
bench_small_input,encode_reuse_buf,3,3586296,109350
bench_small_input,encode_reuse_buf,3,4074506,127575
bench_small_input,encode_reuse_buf,3,4616768,145800
bench_small_input,encode_reuse_buf,3,5445664,164025
bench_small_input,encode_reuse_buf,3,5937633,182250
bench_small_input,encode_reuse_buf,3,6461112,200475
bench_small_input,encode_reuse_buf,3,7083640,218700
bench_small_input,encode_reuse_buf,3,7647328,236925
bench_small_input,encode_reuse_buf,3,8337054,255150
bench_small_input,encode_reuse_buf,3,8948617,273375
bench_small_input,encode_reuse_buf,3,9495259,291600
bench_small_input,encode_reuse_buf,3,9748376,309825
bench_small_input,encode_reuse_buf,3,10448781,328050
bench_small_input,encode_reuse_buf,3,11035917,346275
bench_small_input,encode_reuse_buf,3,11609960,364500
bench_small_input,encode_reuse_buf,3,12354285,382725
bench_small_input,encode_reuse_buf,3,13005757,400950
bench_small_input,encode_reuse_buf,3,13269368,419175
bench_small_input,encode_reuse_buf,3,14203966,437400
bench_small_input,encode_reuse_buf,3,14582429,455625
bench_small_input,encode_reuse_buf,3,15137816,473850
bench_small_input,encode_reuse_buf,3,15688659,492075
bench_small_input,encode_reuse_buf,3,16489329,510300
bench_small_input,encode_reuse_buf,3,16828850,528525
bench_small_input,encode_reuse_buf,3,17705642,546750
bench_small_input,encode_reuse_buf,3,18336945,564975
bench_small_input,encode_reuse_buf,3,18703374,583200
bench_small_input,encode_reuse_buf,3,19293206,601425
bench_small_input,encode_reuse_buf,3,20104509,619650
bench_small_input,encode_reuse_buf,3,20732606,637875
bench_small_input,encode_reuse_buf,3,21082232,656100
bench_small_input,encode_reuse_buf,3,21328547,674325
bench_small_input,encode_reuse_buf,3,22053336,692550
bench_small_input,encode_reuse_buf,3,22700646,710775
bench_small_input,encode_reuse_buf,3,23578954,729000
bench_small_input,encode_reuse_buf,3,23595162,747225
bench_small_input,encode_reuse_buf,3,24203282,765450
bench_small_input,encode_reuse_buf,3,25190140,783675
bench_small_input,encode_reuse_buf,3,25840551,801900
bench_small_input,encode_reuse_buf,3,26090952,820125
bench_small_input,encode_reuse_buf,3,27096536,838350
bench_small_input,encode_reuse_buf,3,27430814,856575
bench_small_input,encode_reuse_buf,3,28054299,874800
bench_small_input,encode_reuse_buf,3,28331599,893025
bench_small_input,encode_reuse_buf,3,29282134,911250
bench_small_input,encode_reuse_buf,3,29755351,929475
bench_small_input,encode_reuse_buf,3,30171413,947700
bench_small_input,encode_reuse_buf,3,31002809,965925
bench_small_input,encode_reuse_buf,3,31642767,984150
bench_small_input,encode_reuse_buf,3,32022621,1002375
bench_small_input,encode_reuse_buf,3,32629225,1020600
bench_small_input,encode_reuse_buf,3,34176220,1038825
bench_small_input,encode_reuse_buf,3,34340158,1057050
bench_small_input,encode_reuse_buf,3,34770386,1075275
bench_small_input,encode_reuse_buf,3,35641778,1093500
bench_small_input,encode_reuse_buf,3,35838750,1111725
bench_small_input,encode_reuse_buf,3,36365154,1129950
bench_small_input,encode_reuse_buf,3,37249321,1148175
bench_small_input,encode_reuse_buf,3,37173161,1166400
bench_small_input,encode_reuse_buf,3,37905485,1184625
bench_small_input,encode_reuse_buf,3,38553222,1202850
bench_small_input,encode_reuse_buf,3,38834384,1221075
bench_small_input,encode_reuse_buf,3,39466291,1239300
bench_small_input,encode_reuse_buf,3,39926538,1257525
bench_small_input,encode_reuse_buf,3,41035523,1275750
bench_small_input,encode_reuse_buf,3,41284260,1293975
bench_small_input,encode_reuse_buf,3,41848494,1312200
bench_small_input,encode_reuse_buf,3,42877951,1330425
bench_small_input,encode_reuse_buf,3,43158882,1348650
bench_small_input,encode_reuse_buf,3,43945437,1366875
bench_small_input,encode_reuse_buf,3,44042999,1385100
bench_small_input,encode_reuse_buf,3,44740411,1403325
bench_small_input,encode_reuse_buf,3,45261313,1421550
bench_small_input,encode_reuse_buf,3,45954478,1439775
bench_small_input,encode_reuse_buf,3,46776226,1458000
bench_small_input,encode_reuse_buf,3,47148949,1476225
bench_small_input,encode_reuse_buf,3,48209706,1494450
bench_small_input,encode_reuse_buf,3,48783791,1512675
bench_small_input,encode_reuse_buf,3,49164871,1530900
bench_small_input,encode_reuse_buf,3,49497865,1549125
bench_small_input,encode_reuse_buf,3,50222405,1567350
bench_small_input,encode_reuse_buf,3,50425698,1585575
bench_small_input,encode_reuse_buf,3,51591535,1603800
bench_small_input,encode_reuse_buf,3,51807463,1622025
bench_small_input,encode_reuse_buf,3,52309719,1640250
bench_small_input,encode_reuse_buf,3,52792998,1658475
bench_small_input,encode_reuse_buf,3,53896800,1676700
bench_small_input,encode_reuse_buf,3,53931503,1694925
bench_small_input,encode_reuse_buf,3,55479061,1713150
bench_small_input,encode_reuse_buf,3,55466298,1731375
bench_small_input,encode_reuse_buf,3,55845243,1749600
bench_small_input,encode_reuse_buf,3,57066947,1767825
bench_small_input,encode_reuse_buf,3,57332803,1786050
bench_small_input,encode_reuse_buf,3,58559999,1804275
bench_small_input,encode_reuse_buf,3,58506748,1822500
