group,function,value,sample_time_nanos,iteration_count
bench_small_input,encode_reuse_buf,3072,597579,645
bench_small_input,encode_reuse_buf,3072,1183007,1290
bench_small_input,encode_reuse_buf,3072,1782630,1935
bench_small_input,encode_reuse_buf,3072,2380317,2580
bench_small_input,encode_reuse_buf,3072,2959970,3225
bench_small_input,encode_reuse_buf,3072,3564221,3870
bench_small_input,encode_reuse_buf,3072,4144174,4515
bench_small_input,encode_reuse_buf,3072,4735372,5160
bench_small_input,encode_reuse_buf,3072,5335813,5805
bench_small_input,encode_reuse_buf,3072,5919984,6450
bench_small_input,encode_reuse_buf,3072,6516783,7095
bench_small_input,encode_reuse_buf,3072,7127818,7740
bench_small_input,encode_reuse_buf,3072,7706685,8385
bench_small_input,encode_reuse_buf,3072,8366509,9030
bench_small_input,encode_reuse_buf,3072,8897880,9675
bench_small_input,encode_reuse_buf,3072,9488062,10320
bench_small_input,encode_reuse_buf,3072,10134216,10965
bench_small_input,encode_reuse_buf,3072,10672990,11610
bench_small_input,encode_reuse_buf,3072,11260561,12255
bench_small_input,encode_reuse_buf,3072,11837402,12900
bench_small_input,encode_reuse_buf,3072,12504287,13545
bench_small_input,encode_reuse_buf,3072,13066319,14190
bench_small_input,encode_reuse_buf,3072,13651982,14835
bench_small_input,encode_reuse_buf,3072,14214861,15480
bench_small_input,encode_reuse_buf,3072,14851823,16125
bench_small_input,encode_reuse_buf,3072,15402718,16770
bench_small_input,encode_reuse_buf,3072,16089569,17415
bench_small_input,encode_reuse_buf,3072,16632565,18060
bench_small_input,encode_reuse_buf,3072,17201979,18705
bench_small_input,encode_reuse_buf,3072,17831627,19350
bench_small_input,encode_reuse_buf,3072,18421579,19995
bench_small_input,encode_reuse_buf,3072,19125212,20640
bench_small_input,encode_reuse_buf,3072,19689888,21285
bench_small_input,encode_reuse_buf,3072,20232809,21930
bench_small_input,encode_reuse_buf,3072,20804903,22575
bench_small_input,encode_reuse_buf,3072,21491911,23220
bench_small_input,encode_reuse_buf,3072,21960304,23865
bench_small_input,encode_reuse_buf,3072,22709589,24510
bench_small_input,encode_reuse_buf,3072,23265927,25155
bench_small_input,encode_reuse_buf,3072,23835400,25800
bench_small_input,encode_reuse_buf,3072,24413510,26445
bench_small_input,encode_reuse_buf,3072,25000443,27090
bench_small_input,encode_reuse_buf,3072,25599093,27735
bench_small_input,encode_reuse_buf,3072,26184884,28380
bench_small_input,encode_reuse_buf,3072,26830175,29025
bench_small_input,encode_reuse_buf,3072,27454996,29670
bench_small_input,encode_reuse_buf,3072,28073564,30315
bench_small_input,encode_reuse_buf,3072,28555550,30960
bench_small_input,encode_reuse_buf,3072,29124978,31605
bench_small_input,encode_reuse_buf,3072,29880600,32250
bench_small_input,encode_reuse_buf,3072,30237037,32895
bench_small_input,encode_reuse_buf,3072,30924361,33540
bench_small_input,encode_reuse_buf,3072,31570846,34185
bench_small_input,encode_reuse_buf,3072,32199269,34830
bench_small_input,encode_reuse_buf,3072,32852701,35475
bench_small_input,encode_reuse_buf,3072,33401848,36120
bench_small_input,encode_reuse_buf,3072,33979760,36765
bench_small_input,encode_reuse_buf,3072,34526328,37410
bench_small_input,encode_reuse_buf,3072,35229586,38055
bench_small_input,encode_reuse_buf,3072,35705523,38700
bench_small_input,encode_reuse_buf,3072,36304018,39345
bench_small_input,encode_reuse_buf,3072,36836839,39990
bench_small_input,encode_reuse_buf,3072,37463933,40635
bench_small_input,encode_reuse_buf,3072,37931671,41280
bench_small_input,encode_reuse_buf,3072,38538851,41925
bench_small_input,encode_reuse_buf,3072,39290965,42570
bench_small_input,encode_reuse_buf,3072,39810340,43215
bench_small_input,encode_reuse_buf,3072,40558308,43860
bench_small_input,encode_reuse_buf,3072,41125291,44505
bench_small_input,encode_reuse_buf,3072,41727772,45150
bench_small_input,encode_reuse_buf,3072,42149397,45795
bench_small_input,encode_reuse_buf,3072,42697954,46440
bench_small_input,encode_reuse_buf,3072,43365363,47085
bench_small_input,encode_reuse_buf,3072,44030417,47730
bench_small_input,encode_reuse_buf,3072,44528304,48375
bench_small_input,encode_reuse_buf,3072,45249241,49020
bench_small_input,encode_reuse_buf,3072,45787737,49665
bench_small_input,encode_reuse_buf,3072,46518014,50310
bench_small_input,encode_reuse_buf,3072,47567628,50955
bench_small_input,encode_reuse_buf,3072,47594657,51600
bench_small_input,encode_reuse_buf,3072,48245762,52245
bench_small_input,encode_reuse_buf,3072,48811188,52890
bench_small_input,encode_reuse_buf,3072,49376584,53535
bench_small_input,encode_reuse_buf,3072,49963962,54180
bench_small_input,encode_reuse_buf,3072,50693241,54825
bench_small_input,encode_reuse_buf,3072,51314813,55470
bench_small_input,encode_reuse_buf,3072,51875163,56115
bench_small_input,encode_reuse_buf,3072,52608650,56760
bench_small_input,encode_reuse_buf,3072,53119637,57405
bench_small_input,encode_reuse_buf,3072,53504962,58050
bench_small_input,encode_reuse_buf,3072,54122583,58695
bench_small_input,encode_reuse_buf,3072,54729041,59340
bench_small_input,encode_reuse_buf,3072,55344660,59985
bench_small_input,encode_reuse_buf,3072,56163320,60630
bench_small_input,encode_reuse_buf,3072,56670370,61275
bench_small_input,encode_reuse_buf,3072,57121255,61920
bench_small_input,encode_reuse_buf,3072,57795784,62565
bench_small_input,encode_reuse_buf,3072,58521878,63210
bench_small_input,encode_reuse_buf,3072,59037067,63855
bench_small_input,encode_reuse_buf,3072,59692336,64500
