group,function,value,sample_time_nanos,iteration_count
bench_small_input,encode_reuse_buf_stream,50,561911,8601
bench_small_input,encode_reuse_buf_stream,50,1156905,17202
bench_small_input,encode_reuse_buf_stream,50,1764703,25803
bench_small_input,encode_reuse_buf_stream,50,2284657,34404
bench_small_input,encode_reuse_buf_stream,50,2921822,43005
bench_small_input,encode_reuse_buf_stream,50,3601109,51606
bench_small_input,encode_reuse_buf_stream,50,4051719,60207
bench_small_input,encode_reuse_buf_stream,50,4678928,68808
bench_small_input,encode_reuse_buf_stream,50,5374728,77409
bench_small_input,encode_reuse_buf_stream,50,5889297,86010
bench_small_input,encode_reuse_buf_stream,50,6647595,94611
bench_small_input,encode_reuse_buf_stream,50,7129364,103212
bench_small_input,encode_reuse_buf_stream,50,7571014,111813
bench_small_input,encode_reuse_buf_stream,50,8393805,120414
bench_small_input,encode_reuse_buf_stream,50,8833307,129015
bench_small_input,encode_reuse_buf_stream,50,9307775,137616
bench_small_input,encode_reuse_buf_stream,50,9977598,146217
bench_small_input,encode_reuse_buf_stream,50,10731899,154818
bench_small_input,encode_reuse_buf_stream,50,11211106,163419
bench_small_input,encode_reuse_buf_stream,50,11790072,172020
bench_small_input,encode_reuse_buf_stream,50,12621816,180621
bench_small_input,encode_reuse_buf_stream,50,13006044,189222
bench_small_input,encode_reuse_buf_stream,50,13501440,197823
bench_small_input,encode_reuse_buf_stream,50,14175218,206424
bench_small_input,encode_reuse_buf_stream,50,14710985,215025
bench_small_input,encode_reuse_buf_stream,50,15235330,223626
bench_small_input,encode_reuse_buf_stream,50,15849792,232227
bench_small_input,encode_reuse_buf_stream,50,16515564,240828
bench_small_input,encode_reuse_buf_stream,50,17105778,249429
bench_small_input,encode_reuse_buf_stream,50,17877952,258030
bench_small_input,encode_reuse_buf_stream,50,18075536,266631
bench_small_input,encode_reuse_buf_stream,50,18880797,275232
bench_small_input,encode_reuse_buf_stream,50,19448144,283833
bench_small_input,encode_reuse_buf_stream,50,20039347,292434
bench_small_input,encode_reuse_buf_stream,50,20776912,301035
bench_small_input,encode_reuse_buf_stream,50,21060485,309636
bench_small_input,encode_reuse_buf_stream,50,21635296,318237
bench_small_input,encode_reuse_buf_stream,50,22535812,326838
bench_small_input,encode_reuse_buf_stream,50,23086879,335439
