group,function,value,sample_time_nanos,iteration_count
bench_small_input,encode_reuse_buf_stream,50,577527,8690
bench_small_input,encode_reuse_buf_stream,50,1168776,17380
bench_small_input,encode_reuse_buf_stream,50,1747422,26070
bench_small_input,encode_reuse_buf_stream,50,2386519,34760
bench_small_input,encode_reuse_buf_stream,50,2847002,43450
bench_small_input,encode_reuse_buf_stream,50,3460415,52140
bench_small_input,encode_reuse_buf_stream,50,4131602,60830
bench_small_input,encode_reuse_buf_stream,50,4663091,69520
bench_small_input,encode_reuse_buf_stream,50,5220969,78210
bench_small_input,encode_reuse_buf_stream,50,5831906,86900
bench_small_input,encode_reuse_buf_stream,50,6253998,95590
bench_small_input,encode_reuse_buf_stream,50,6892075,104280
bench_small_input,encode_reuse_buf_stream,50,7576560,112970
bench_small_input,encode_reuse_buf_stream,50,8205385,121660
bench_small_input,encode_reuse_buf_stream,50,8779901,130350
bench_small_input,encode_reuse_buf_stream,50,9278902,139040
bench_small_input,encode_reuse_buf_stream,50,9776816,147730
bench_small_input,encode_reuse_buf_stream,50,10415094,156420
bench_small_input,encode_reuse_buf_stream,50,11213783,165110
bench_small_input,encode_reuse_buf_stream,50,11552500,173800
bench_small_input,encode_reuse_buf_stream,50,12076857,182490
bench_small_input,encode_reuse_buf_stream,50,12537877,191180
bench_small_input,encode_reuse_buf_stream,50,13302339,199870
bench_small_input,encode_reuse_buf_stream,50,13944058,208560
bench_small_input,encode_reuse_buf_stream,50,14391997,217250
bench_small_input,encode_reuse_buf_stream,50,15017320,225940
bench_small_input,encode_reuse_buf_stream,50,15685608,234630
bench_small_input,encode_reuse_buf_stream,50,16222160,243320
bench_small_input,encode_reuse_buf_stream,50,16832619,252010
bench_small_input,encode_reuse_buf_stream,50,17484517,260700
bench_small_input,encode_reuse_buf_stream,50,17852513,269390
bench_small_input,encode_reuse_buf_stream,50,18499092,278080
bench_small_input,encode_reuse_buf_stream,50,19238649,286770
bench_small_input,encode_reuse_buf_stream,50,19848918,295460
bench_small_input,encode_reuse_buf_stream,50,20278803,304150
bench_small_input,encode_reuse_buf_stream,50,20699612,312840
bench_small_input,encode_reuse_buf_stream,50,21388538,321530
bench_small_input,encode_reuse_buf_stream,50,21966823,330220
bench_small_input,encode_reuse_buf_stream,50,22943241,338910
bench_small_input,encode_reuse_buf_stream,50,23462666,347600
bench_small_input,encode_reuse_buf_stream,50,24111149,356290
bench_small_input,encode_reuse_buf_stream,50,24773131,364980
bench_small_input,encode_reuse_buf_stream,50,25270400,373670
bench_small_input,encode_reuse_buf_stream,50,25492444,382360
bench_small_input,encode_reuse_buf_stream,50,25983236,391050
bench_small_input,encode_reuse_buf_stream,50,26565630,399740
bench_small_input,encode_reuse_buf_stream,50,27655107,408430
bench_small_input,encode_reuse_buf_stream,50,27733846,417120
bench_small_input,encode_reuse_buf_stream,50,28302567,425810
bench_small_input,encode_reuse_buf_stream,50,29264922,434500
bench_small_input,encode_reuse_buf_stream,50,29659207,443190
bench_small_input,encode_reuse_buf_stream,50,30026950,451880
bench_small_input,encode_reuse_buf_stream,50,30907811,460570
bench_small_input,encode_reuse_buf_stream,50,31370399,469260
bench_small_input,encode_reuse_buf_stream,50,31682902,477950
bench_small_input,encode_reuse_buf_stream,50,32607201,486640
bench_small_input,encode_reuse_buf_stream,50,32826691,495330
bench_small_input,encode_reuse_buf_stream,50,33646363,504020
bench_small_input,encode_reuse_buf_stream,50,34354323,512710
bench_small_input,encode_reuse_buf_stream,50,34790854,521400
bench_small_input,encode_reuse_buf_stream,50,35234253,530090
bench_small_input,encode_reuse_buf_stream,50,36044362,538780
bench_small_input,encode_reuse_buf_stream,50,36303046,547470
bench_small_input,encode_reuse_buf_stream,50,36757466,556160
bench_small_input,encode_reuse_buf_stream,50,37862711,564850
bench_small_input,encode_reuse_buf_stream,50,38046739,573540
bench_small_input,encode_reuse_buf_stream,50,38565185,582230
bench_small_input,encode_reuse_buf_stream,50,39303119,590920
bench_small_input,encode_reuse_buf_stream,50,39700022,599610
bench_small_input,encode_reuse_buf_stream,50,40758817,608300
